Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, end, peek, talk, point, fuss, instructions, preview, outofframe, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,right,(null)
100099,0,left,(null)
100333,0,right,(null)
110166,0,left,(null)
111734,0,right,(null)
112433,0,away,(null)
113199,0,left,(null)
115567,0,right,(null)
118000,0,left,(null)
118333,0,right,(null)
119866,0,end,(null)
119900,0,left,(null)
124300,0,right,(null)
12866,0,right,(null)
129067,0,left,(null)
134500,0,right,(null)
135067,0,away,(null)
136634,0,right,(null)
138434,0,away,(null)
139399,0,left,(null)
13967,0,left,(null)
143833,0,end,(null)
143867,0,right,(null)
148067,0,left,(null)
149167,0,right,(null)
151100,0,left,(null)
151899,0,right,(null)
153800,0,left,(null)
154867,0,right,(null)
15500,0,right,(null)
156667,0,left,(null)
157699,0,right,(null)
160699,0,left,(null)
161233,0,right,(null)
162733,0,left,(null)
163899,0,right,(null)
167800,0,end,(null)
170367,0,left,(null)
172199,0,right,(null)
1733,0,right,(null)
17367,0,left,(null)
174533,0,left,(null)
176600,0,right,(null)
177634,0,left,(null)
178500,0,right,(null)
178833,0,left,(null)
179466,0,right,(null)
182833,0,left,(null)
183466,0,right,(null)
184300,0,left,(null)
18799,0,right,(null)
189367,0,right,(null)
190634,0,left,(null)
191766,0,end,(null)
191800,0,right,(null)
199300,0,left,(null)
202466,0,right,(null)
204899,0,away,(null)
20566,0,left,(null)
205699,0,right,(null)
207367,0,left,(null)
208500,0,right,(null)
214367,0,left,(null)
214800,0,right,(null)
215766,0,end,(null)
22166,0,right,(null)
226934,0,away,(null)
227833,0,left,(null)
235766,0,away,(null)
23700,0,left,(null)
237333,0,right,(null)
238567,0,left,(null)
23934,0,end,(null)
239399,0,right,(null)
23966,0,right,(null)
239766,0,end,(null)
248634,0,left,(null)
249867,0,right,(null)
252699,0,left,(null)
255333,0,right,(null)
257566,0,left,(null)
259066,0,right,(null)
260100,0,left,(null)
260399,0,away,(null)
261166,0,left,(null)
261433,0,right,(null)
262600,0,left,(null)
2634,0,left,(null)
263734,0,end,(null)
269700,0,right,(null)
271467,0,left,(null)
273433,0,right,(null)
274467,0,left,(null)
275899,0,right,(null)
276799,0,left,(null)
277766,0,away,(null)
279266,0,right,(null)
280100,0,left,(null)
282799,0,right,(null)
287734,0,end,(null)
28833,0,left,(null)
29100,0,right,(null)
291200,0,left,(null)
291467,0,right,(null)
