Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,right,(null)
100967,0,left,(null)
103634,0,right,(null)
104900,0,left,(null)
107099,0,right,(null)
108400,0,away,(null)
109366,0,left,(null)
109634,0,right,(null)
110333,0,left,(null)
11734,0,right,(null)
119800,0,end,(null)
119833,0,left,(null)
12467,0,left,(null)
125067,0,right,(null)
129800,0,left,(null)
130533,0,right,(null)
131233,0,left,(null)
134434,0,right,(null)
140033,0,left,(null)
143667,0,right,(null)
143766,0,end,(null)
143800,0,left,(null)
143934,0,right,(null)
146333,0,left,(null)
14967,0,right,(null)
153167,0,right,(null)
154300,0,left,(null)
158033,0,right,(null)
158934,0,away,(null)
159833,0,right,(null)
160800,0,left,(null)
162899,0,right,(null)
166033,0,left,(null)
167733,0,end,(null)
167766,0,right,(null)
168199,0,left,(null)
170434,0,right,(null)
172533,0,away,(null)
173667,0,left,(null)
174033,0,right,(null)
177701,1751,outofframe,(null)
179500,0,right,(null)
181399,0,away,(null)
186634,0,right,(null)
189134,0,left,(null)
190000,0,away,(null)
191733,0,end,(null)
191766,0,left,(null)
192033,0,right,(null)
196033,0,left,(null)
201266,0,right,(null)
202399,0,left,(null)
203399,0,right,(null)
20434,0,left,(null)
206899,0,left,(null)
209667,0,right,(null)
210367,0,left,(null)
21100,0,right,(null)
211266,0,right,(null)
215033,0,left,(null)
215667,0,end,(null)
215699,0,right,(null)
216434,0,left,(null)
220466,0,right,(null)
224466,0,left,(null)
228067,0,away,(null)
229466,0,left,(null)
230300,0,away,(null)
233300,0,left,(null)
234800,0,away,(null)
236067,0,left,(null)
23700,0,left,(null)
23934,0,end,(null)
239634,0,end,(null)
23966,0,right,(null)
239667,0,left,(null)
253533,0,away,(null)
254100,0,right,(null)
25733,0,left,(null)
258033,0,left,(null)
261867,0,right,(null)
263033,0,left,(null)
26333,0,away,(null)
263533,0,right,(null)
263566,0,end,(null)
263600,0,right,(null)
26733,0,right,(null)
269967,0,left,(null)
272299,0,away,(null)
275566,0,right,(null)
277566,0,away,(null)
277700,0,left,(null)
279799,0,right,(null)
280967,0,away,(null)
287399,0,end,(null)
287433,0,left,(null)
288000,0,right,(null)
290566,0,left,(null)
293100,0,right,(null)
294334,0,left,(null)
29466,0,left,(null)
303110,956,talk,Leave it.
303700,0,away,(null)
309033,1500,talk,?
310399,0,left,(null)
311299,0,end,(null)
311334,0,right,(null)
318634,0,away,(null)
319566,0,right,(null)
321334,0,left,(null)
324066,0,right,(null)
32567,0,right,(null)
327433,0,left,(null)
330234,0,away,(null)
335299,0,end,(null)
33700,0,left,(null)
35833,0,right,(null)
36333,0,left,(null)
39933,0,right,(null)
41567,0,left,(null)
43067,0,away,(null)
44333,0,left,(null)
47067,0,away,(null)
47900,0,end,(null)
47933,0,right,(null)
52799,0,left,(null)
5699,0,right,(null)
57900,0,right,(null)
62766,0,left,(null)
6300,0,left,(null)
64033,0,right,(null)
64500,0,left,(null)
67,0,left,(null)
67734,0,right,(null)
71866,0,end,(null)
71900,0,right,(null)
75000,0,left,(null)
84866,0,right,(null)
85833,0,left,(null)
87099,0,right,(null)
88266,0,left,(null)
89866,0,right,(null)
90000,0,away,(null)
95099,0,right,(null)
95833,0,end,(null)
95866,0,left,(null)
96134,0,right,(null)
0,0,other_posture,standing alone
