Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture, no_posture
Time,Duration,TrackName,comment

0,0,right,(null)
10234,0,left,(null)
109134,0,away,(null)
109567,0,left,(null)
114099,0,end,(null)
114134,0,left,(null)
119300,0,right,(null)
12234,0,right,(null)
124067,0,left,(null)
128833,0,right,(null)
12899,0,left,(null)
134033,0,left,(null)
137000,0,end,(null)
137033,0,left,(null)
152300,0,right,(null)
154567,0,left,(null)
159934,0,end,(null)
159966,0,right,(null)
161800,0,left,(null)
163934,0,right,(null)
164800,0,left,(null)
165266,0,right,(null)
165600,0,left,(null)
175266,0,right,(null)
176533,0,left,(null)
182766,0,end,(null)
182800,0,right,(null)
183100,0,left,(null)
183434,0,away,(null)
188333,11633,fuss,1
190266,15362,peek,(null)
19100,1000,peek,(null)
191600,0,left,(null)
192033,0,right,(null)
192766,0,left,(null)
196233,0,away,(null)
201134,0,left,(null)
202167,0,right,(null)
202934,0,away,(null)
205634,0,end,(null)
205667,23000,outofframe,(null)
205667,4566,peek,(null)
21767,0,right,(null)
228667,0,end,(null)
228699,0,away,(null)
228699,6634,peek,(null)
229934,0,right,(null)
23000,0,end,(null)
23034,0,right,(null)
231634,0,left,(null)
235333,0,right,(null)
237733,0,left,(null)
238233,0,right,(null)
238960,4394,peek,(null)
2400,0,left,(null)
242134,0,left,(null)
242367,0,right,(null)
244766,6834,peek,(null)
251600,0,end,(null)
251634,0,away,(null)
251634,13432,peek,(null)
252000,0,left,(null)
253100,0,right,(null)
253766,0,left,(null)
254934,0,right,(null)
256766,0,left,(null)
257967,0,right,(null)
262166,0,left,(null)
266834,0,right,(null)
267967,0,away,(null)
272100,0,left,(null)
272433,0,right,(null)
273533,0,left,(null)
274266,0,right,(null)
274467,0,end,(null)
274500,0,left,(null)
274500,19134,peek,(null)
28333,0,left,(null)
289334,0,right,(null)
291166,0,left,(null)
292734,0,right,(null)
2934,1665,peek,(null)
293834,0,left,(null)
296899,0,away,(null)
297334,0,end,(null)
297367,0,left,(null)
297367,10313,peek,(null)
297700,0,away,(null)
298399,0,right,(null)
301867,0,left,(null)
303666,0,right,(null)
308867,0,left,(null)
309766,0,away,(null)
310299,0,left,(null)
310766,0,right,(null)
311600,0,left,(null)
316000,0,right,(null)
317200,0,left,(null)
320334,0,end,(null)
320367,0,away,(null)
320367,22833,peek,(null)
323134,0,right,(null)
