Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, preview, over_shoulder, sitting_in_lap, sitting_alone, other_posture, no_posture
Time,Duration,TrackName,comment

0,714,outofframe,this trial is very blurry so take this with a grain of salt
102933,0,left,(null)
104134,0,right,(null)
106469,0,away,(null)
110127,0,right,(null)
1117,0,left,(null)
112751,0,away,(null)
114632,5101,outofframe,(null)
119734,0,end,(null)
119763,19729,outofframe,(null)
139500,0,right,(null)
140902,0,left,(null)
141796,0,away,(null)
142786,0,left,(null)
143699,0,end,(null)
143733,0,right,(null)
146330,0,left,(null)
147117,0,right,(null)
149725,0,left,(null)
150397,0,right,(null)
156236,0,left,(null)
157320,0,right,(null)
159366,0,left,(null)
160134,0,away,(null)
160742,5093,outofframe,camera fell down 
167634,0,end,(null)
167667,0,right,(null)
170043,0,left,(null)
178896,0,right,(null)
180210,0,away,(null)
181177,0,right,(null)
182618,0,away,(null)
183884,0,right,(null)
184254,0,left,(null)
191667,0,end,(null)
191687,0,right,(null)
194895,0,left,(null)
196052,0,right,(null)
196509,0,left,(null)
196800,0,right,(null)
198803,0,left,(null)
199729,0,right,(null)
202799,0,left,(null)
203733,0,right,(null)
204434,0,left,(null)
205118,0,away,(null)
208032,0,right,(null)
20873,0,away,(null)
209662,0,away,pulling on mom's hair
215567,0,end,(null)
215600,0,right,(null)
22203,0,right,(null)
232326,0,left,(null)
232783,0,right,(null)
234672,0,left,(null)
237573,0,right,(null)
238603,0,left,(null)
23899,0,end,(null)
23934,0,right,this trial is blurry but I tried my best : ) 
239434,0,end,(null)
239466,0,right,(null)
245824,0,left,(null)
249758,0,right,(null)
256216,0,left,(null)
258755,0,right,(null)
260655,0,away,(null)
263399,0,end,(null)
263433,0,right,(null)
266333,0,left,(null)
2669,0,right,(null)
268789,0,right,(null)
270714,0,away,(null)
271383,0,right,(null)
27239,0,left,(null)
274062,0,left,(null)
280962,0,away,(null)
281745,0,right,(null)
284178,0,left,(null)
286428,0,right,(null)
287334,0,end,(null)
287382,0,left,(null)
293012,0,away,(null)
296575,0,left,(null)
297101,0,right,(null)
29806,0,right,(null)
298119,0,away,(null)
300800,0,left,(null)
301560,0,away,(null)
304266,0,left,(null)
304650,0,right,(null)
306867,0,left,(null)
307974,0,right,(null)
309967,0,left,(null)
311266,0,end,(null)
311361,0,right,(null)
31880,0,away,(null)
319734,0,left,(null)
321525,0,right,(null)
324059,1608,outofframe,(null)
325799,0,away,(null)
326666,0,right,(null)
335200,0,end,(null)
335234,0,right,(null)
337000,0,left,(null)
337500,0,right,(null)
341473,0,left,(null)
34419,0,right,(null)
346585,0,right,(null)
348083,0,away,(null)
350317,0,right,(null)
350827,0,away,(null)
353494,0,left,(null)
355023,0,right,(null)
359100,0,end,(null)
359148,0,right,(null)
359215,0,left,(null)
362848,0,right,(null)
364962,0,left,(null)
36568,0,left,(null)
368692,0,right,(null)
373496,0,away,(null)
373666,873,outofframe,(null)
374587,0,right,(null)
375505,0,away,(null)
38212,0,right,(null)
383033,0,end,(null)
383066,0,right,super blurry&#44; i cannot distinguish when he turns left or right
404045,0,left,(null)
406084,0,right,(null)
407000,0,end,(null)
407033,0,right,(null)
409447,0,left,(null)
413060,0,right,(null)
41708,0,left,(null)
418192,0,left,(null)
419619,0,away,(null)
421040,0,right,(null)
422334,8000,outofframe,(null)
431000,0,end,(null)
431033,0,right,(null)
432000,0,left,(null)
433776,0,right,(null)
436819,0,left,(null)
437301,0,right,(null)
43742,0,right,(null)
439589,0,away,(null)
443560,0,right,(null)
446560,0,away,(null)
454967,0,end,(null)
455000,0,right,(null)
463654,0,left,(null)
465310,0,right,(null)
467400,0,left,(null)
46849,0,away,(null)
468868,0,away,(null)
478058,0,left,(null)
47833,0,end,(null)
47867,0,right,blurry&#44; it's not going to be super accurate 
478899,0,end,(null)
478933,0,right,(null)
488840,0,left,(null)
492879,0,right,(null)
495058,0,left,(null)
497099,0,away,(null)
502867,0,end,(null)
503116,0,left,blurry again! 
504634,0,right,(null)
505933,0,left,(null)
506728,0,right,(null)
508260,0,away,(null)
521525,0,right,(null)
523709,0,left,(null)
525894,0,right,(null)
52623,0,left,(null)
526767,0,end,(null)
526799,0,right,(null)
530229,0,away,(null)
539200,9346,fuss,baby is fussing and trying to get mom's attention
550767,0,end,(null)
550811,0,left,blurry
567000,0,right,(null)
569227,0,away,(null)
569367,547,outofframe,(null)
574367,0,left,(null)
574767,0,end,(null)
57478,0,right,(null)
6270,0,left,(null)
70300,1498,outofframe,(null)
71800,0,end,(null)
71851,20999,outofframe,(null)
8864,11967,outofframe,(null)
92862,0,right,(null)
95766,0,end,(null)
95800,3276,outofframe,(null)
99162,0,right,(null)
0,0,over_shoulder,(null)
110433,0,other_posture,being held in 2 hands
112801,0,over_shoulder,(null)
163333,0,no_posture,camera dropped
166333,0,over_shoulder,(null)
476913,0,other_posture,being held in 2 hands
478401,0,over_shoulder,(null)
