Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,left,(null)
103166,0,right,(null)
10467,0,left,(null)
106266,0,left,(null)
108533,0,right,(null)
111666,0,left,(null)
113300,0,away,(null)
11333,0,right,(null)
114134,0,left,(null)
119467,0,right,(null)
119666,0,end,(null)
119699,0,right,(null)
124634,0,left,(null)
12866,0,left,(null)
129134,0,right,(null)
1333,0,right,(null)
134399,0,left,(null)
13833,0,right,(null)
139399,0,right,(null)
141600,0,away,(null)
142466,0,left,(null)
142833,0,right,(null)
143600,0,end,(null)
143634,0,right,(null)
145699,0,left,(null)
146134,0,right,(null)
147766,0,left,(null)
14866,0,away,(null)
149033,0,right,(null)
153634,0,left,(null)
154867,0,right,(null)
155567,0,left,(null)
156699,0,right,(null)
157266,0,left,(null)
160434,0,right,(null)
162533,0,left,(null)
1633,0,left,(null)
163466,0,right,(null)
16367,0,left,(null)
165766,0,away,(null)
167567,0,end,(null)
167600,0,right,(null)
16934,0,right,(null)
169699,0,left,(null)
170466,0,right,(null)
172634,0,left,(null)
173399,0,right,(null)
17534,0,left,(null)
176634,0,left,(null)
178434,0,right,(null)
178800,0,left,(null)
179600,0,right,(null)
181466,0,left,(null)
18200,0,right,(null)
182399,0,right,(null)
184466,0,left,(null)
185766,0,right,(null)
187300,0,left,(null)
187899,0,right,(null)
189800,0,left,(null)
190899,0,right,(null)
191466,0,end,(null)
191500,0,right,(null)
19267,0,left,(null)
19733,0,right,(null)
20534,0,left,(null)
208300,0,left,(null)
209867,0,right,(null)
2099,0,right,(null)
21166,0,right,(null)
211867,0,left,(null)
214100,0,right,(null)
215434,0,end,(null)
215466,0,left,(null)
21666,0,away,(null)
217000,0,right,(null)
220067,0,left,(null)
223067,0,right,(null)
226600,0,away,(null)
23934,0,end,(null)
239367,0,end,(null)
239399,0,away,(null)
23966,0,right,(null)
240333,0,left,(null)
241667,0,away,(null)
245311,0,left,(null)
247367,0,right,(null)
247867,0,left,(null)
249333,0,right,(null)
251333,0,left,(null)
25299,0,left,(null)
253567,0,right,(null)
255867,0,left,(null)
257700,0,right,(null)
260033,0,left,(null)
261967,0,away,(null)
26299,0,right,(null)
263299,0,end,(null)
263334,0,right,(null)
27634,0,left,(null)
286566,0,away,(null)
287234,0,left,(null)
287266,0,end,(null)
287299,0,right,(null)
28767,0,right,(null)
291799,0,left,(null)
294734,0,right,(null)
296334,0,left,(null)
30100,0,left,(null)
302834,0,away,(null)
304484,1282,talk,what's [?]&#44; emily?
306467,0,right,(null)
31066,0,right,(null)
311200,0,end,(null)
311234,0,left,(null)
311566,0,right,(null)
31966,0,left,(null)
334234,0,left,(null)
334899,0,right,(null)
335166,0,end,(null)
335200,0,left,(null)
335334,0,right,(null)
33534,0,right,(null)
340000,0,left,(null)
340433,0,right,(null)
342234,0,away,(null)
344066,0,left,(null)
344367,0,right,(null)
346399,0,away,(null)
347334,1099,talk,what's happening?
34799,0,left,(null)
349799,0,left,(null)
350399,0,right,(null)
351867,0,left,(null)
35400,0,right,(null)
354000,0,right,(null)
355666,0,away,(null)
356334,0,left,(null)
357533,0,away,(null)
359134,0,end,(null)
359166,0,right,(null)
373166,0,left,(null)
374334,0,right,(null)
378266,0,left,(null)
379134,0,away,(null)
382634,0,right,(null)
383100,0,end,(null)
383134,0,away,(null)
384134,0,left,(null)
385467,0,right,(null)
387134,0,left,(null)
