Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, end, peek, talk, point, fuss, instructions, preview, outofframe, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,right,(null)
10467,0,right,(null)
105567,0,left,(null)
106533,0,right,(null)
107067,0,left,(null)
107666,0,away,(null)
108199,0,right,(null)
109333,0,left,(null)
109634,0,right,(null)
119800,0,end,(null)
119833,0,left,(null)
119900,0,right,(null)
123500,0,left,(null)
129300,0,right,(null)
13133,0,away,(null)
133966,0,left,(null)
13699,0,left,(null)
139466,0,right,(null)
143600,0,end,(null)
149434,0,left,(null)
151699,0,right,(null)
153100,0,left,(null)
15434,0,right,(null)
154367,0,right,(null)
155600,0,away,(null)
156800,0,right,(null)
167434,0,end,(null)
175199,0,left,(null)
175766,0,right,(null)
191399,0,end,(null)
192667,0,away,(null)
194567,0,left,(null)
195800,0,right,(null)
19799,0,away,(null)
198500,0,left,(null)
199100,0,right,(null)
201567,0,left,(null)
202100,0,right,(null)
204800,0,left,(null)
205367,0,right,(null)
207800,0,left,(null)
208434,0,right,(null)
20966,0,right,(null)
210800,0,left,(null)
211167,0,right,(null)
215333,0,end,(null)
216766,0,left,(null)
217266,0,right,(null)
227867,0,left,(null)
228333,0,away,(null)
229634,0,left,(null)
230699,0,right,(null)
23833,0,end,(null)
238800,0,left,(null)
239167,0,end,(null)
239199,0,right,(null)
241434,0,away,(null)
243600,0,right,(null)
251399,0,left,(null)
256933,0,right,(null)
262967,0,end,(null)
263000,0,left,(null)
264000,0,right,(null)
265166,0,left,(null)
265799,0,right,(null)
266367,0,left,(null)
266834,0,right,(null)
267867,0,away,(null)
275666,0,left,(null)
278266,0,away,(null)
282500,0,left,(null)
283799,0,right,(null)
285700,0,left,(null)
286367,0,right,(null)
286967,0,end,(null)
287600,0,left,(null)
288200,0,right,(null)
290200,0,left,(null)
290867,0,right,(null)
293234,0,left,(null)
294867,0,right,(null)
297334,0,left,(null)
300299,0,right,(null)
301766,0,left,(null)
304234,0,right,(null)
310933,0,end,(null)
312033,0,left,(null)
314033,0,right,(null)
314933,0,left,(null)
319600,0,right,(null)
321899,0,left,(null)
324066,0,right,(null)
326766,0,left,(null)
329066,0,right,(null)
329933,0,left,(null)
331166,0,right,(null)
331933,0,left,(null)
333967,0,right,(null)
334899,0,end,(null)
358899,0,end,(null)
358933,0,left,(null)
363100,0,right,(null)
365399,0,left,(null)
368134,0,right,(null)
372000,0,left,(null)
373066,0,right,(null)
37666,0,left,(null)
377100,0,left,(null)
378066,0,right,(null)
378933,0,left,(null)
379967,0,right,(null)
380867,0,left,(null)
381600,0,away,(null)
38166,0,right,(null)
382500,0,right,(null)
382634,0,end,(null)
382666,0,left,(null)
383367,0,away,(null)
38666,0,away,(null)
39466,0,right,(null)
39734,0,away,(null)
401433,0,right,(null)
402399,0,left,(null)
406500,0,end,(null)
406533,0,right,(null)
40666,0,right,(null)
412266,0,left,(null)
415100,0,right,(null)
418933,0,left,(null)
420834,0,right,(null)
422134,0,left,(null)
427600,0,right,(null)
428467,0,left,(null)
430600,0,end,(null)
430634,0,right,(null)
433066,0,left,(null)
434467,0,right,(null)
444166,0,away,(null)
445000,0,left,(null)
447200,0,away,(null)
454600,0,end,(null)
454634,0,left,(null)
455166,0,away,(null)
456533,0,left,(null)
457334,0,right,(null)
459566,0,away,(null)
465433,0,left,(null)
465899,0,right,(null)
467433,0,away,(null)
469666,0,left,(null)
470134,0,away,(null)
474200,0,left,(null)
474734,0,right,(null)
475834,0,away,(null)
476666,1834,fuss,(null)
478500,0,end,(null)
478533,0,right,(null)
47900,0,end,(null)
47933,0,left,(null)
489634,0,left,(null)
489933,0,right,(null)
493266,0,left,(null)
494000,0,right,(null)
496899,0,away,(null)
500734,0,left,(null)
501134,0,right,(null)
502334,0,end,(null)
503334,0,left,(null)
504100,0,right,(null)
504799,0,left,(null)
506734,0,away,(null)
508166,0,right,(null)
509266,0,away,(null)
5099,0,left,(null)
514466,0,right,(null)
515900,0,left,(null)
517099,0,away,(null)
517833,800,fuss,(null)
521533,0,right,(null)
522466,0,left,(null)
52333,0,right,(null)
524500,0,right,(null)
525234,0,away,(null)
526367,0,end,(null)
526400,0,right,(null)
527666,0,left,(null)
539934,0,right,(null)
540799,0,left,(null)
542567,1232,fuss,(null)
544900,0,away,(null)
546599,3702,fuss,(null)
550200,0,right,(null)
550434,0,end,(null)
550466,0,left,(null)
553200,1200,fuss,(null)
553966,0,right,(null)
554867,0,left,(null)
555833,0,right,(null)
556867,0,away,(null)
558099,3500,fuss,(null)
561767,0,right,(null)
563000,0,away,(null)
564767,0,left,(null)
565367,0,right,(null)
566333,0,away,(null)
567539,6895,fuss,(null)
57299,0,left,(null)
574434,0,end,(null)
62067,0,right,(null)
64067,0,away,(null)
64734,0,right,(null)
67467,0,left,(null)
6967,0,right,(null)
71866,0,end,(null)
71900,0,right,(null)
77866,0,left,(null)
78800,0,right,(null)
84967,0,left,(null)
91533,0,right,(null)
95866,0,end,(null)
9633,0,left,(null)
0,0,over_shoulder,(null)
