Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: right, left, away, outofframe, peek, talk, point, fuss, instructions, preview, end, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,left,(null)
102967,0,left,(null)
104300,0,right,(null)
10467,0,left,(null)
1067,0,left,(null)
106734,0,left,(null)
107567,0,away,(null)
109467,0,left,(null)
110099,0,away,(null)
110714,0,left,(null)
111166,0,away,(null)
117740,0,right,(null)
119634,0,end,(null)
119666,0,left,(null)
122059,0,right,(null)
122436,0,left,(null)
123840,0,right,(null)
127249,0,left,(null)
127634,0,right,(null)
128856,0,left,(null)
130574,0,right,(null)
131063,0,left,(null)
13133,0,right,(null)
133067,0,away,(null)
133394,0,left,(null)
133966,0,right,(null)
137816,0,left,(null)
138367,0,away,(null)
139033,0,left,(null)
14070,0,left,(null)
141167,0,right,(null)
141934,0,left,(null)
143533,0,end,(null)
143567,0,right,(null)
144033,0,left,(null)
144766,0,right,(null)
145814,0,left,(null)
14582,0,right,(null)
146973,0,right,(null)
147801,0,left,(null)
148389,0,right,(null)
149287,0,left,(null)
150636,0,right,(null)
151935,0,left,(null)
152604,0,right,(null)
153339,0,left,(null)
154338,0,right,(null)
155463,0,left,(null)
157287,0,right,(null)
16057,0,left,(null)
166,0,right,(null)
167281,0,left,(null)
167600,0,end,(null)
171834,0,right,(null)
172508,0,left,(null)
174609,0,right,(null)
178133,0,left,(null)
179113,0,right,(null)
181011,0,left,(null)
186466,0,away,(null)
191466,0,right,(null)
191567,0,end,(null)
191938,0,left,(null)
193122,0,right,(null)
194183,0,left,(null)
19578,0,right,(null)
196376,0,right,(null)
197705,0,left,(null)
203875,0,right,(null)
204205,0,left,(null)
205072,0,right,(null)
210545,0,left,(null)
211600,0,away,(null)
21190,0,left,(null)
212750,0,right,(null)
214634,0,end,(null)
215974,0,left,(null)
217522,0,right,(null)
218874,0,left,(null)
220775,0,right,(null)
221778,0,left,(null)
222343,0,right,(null)
223533,0,away,(null)
224333,0,left,(null)
225667,0,right,(null)
226600,0,away,(null)
227333,0,right,(null)
229600,0,away,(null)
231218,0,right,(null)
238600,0,end,(null)
239434,0,left,(null)
239765,0,away,(null)
24000,0,end,(null)
24001,0,right,(null)
240134,0,left,(null)
241800,0,right,(null)
242404,0,left,(null)
24449,0,left,(null)
244695,0,right,(null)
245419,0,left,(null)
248434,0,right,(null)
248800,0,left,(null)
250100,0,right,(null)
250167,0,left,(null)
250333,0,right,(null)
25222,0,right,(null)
253199,0,away,(null)
258766,0,left,(null)
259933,0,away,(null)
260666,0,right,(null)
260933,0,left,(null)
262399,0,end,(null)
262433,0,right,(null)
263000,0,left,(null)
264399,0,away,(null)
265467,0,right,(null)
265734,0,away,(null)
265834,0,left,(null)
267600,0,right,(null)
268200,0,left,(null)
271899,0,away,(null)
2727,0,right,(null)
272772,0,right,(null)
274774,0,left,(null)
276643,0,right,(null)
277440,0,left,(null)
278416,0,right,(null)
278911,0,left,(null)
28006,0,left,(null)
280500,0,away,(null)
284566,0,left,(null)
285467,0,away,(null)
286467,0,end,(null)
286500,0,left,(null)
28668,0,right,(null)
286933,0,right,(null)
287566,0,left,(null)
288967,0,right,(null)
292600,0,away,(null)
301834,0,left,(null)
302708,0,away,(null)
308945,0,right,(null)
310299,0,end,(null)
310566,0,left,(null)
313824,0,away,(null)
315299,0,left,(null)
319668,0,away,(null)
320899,0,right,(null)
321176,0,left,(null)
321399,0,away,(null)
328367,0,end,(null)
328399,235,peek,(null)
