Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, outofframe, end, peek, talk, fuss, point, preview, Instructions, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,right,(null)
10267,0,left,(null)
102967,0,left,(null)
104067,0,right,(null)
105099,0,away,(null)
11199,0,right,(null)
116500,0,right,(null)
117300,0,away,(null)
118500,0,right,(null)
119833,0,end,(null)
119866,0,away,(null)
121000,0,left,(null)
124433,0,right,(null)
126467,0,away,(null)
126833,0,right,(null)
129367,0,left,(null)
13034,0,away,(null)
131634,0,right,(null)
132434,0,left,(null)
134500,0,right,(null)
139434,0,left,(null)
13967,0,left,(null)
140867,0,right,(null)
141466,0,left,(null)
143833,0,end,(null)
145100,0,right,(null)
146899,0,left,(null)
148067,0,right,(null)
148867,0,away,(null)
149800,0,right,(null)
150333,0,left,(null)
15034,0,right,(null)
151067,0,right,(null)
151500,0,left,(null)
151867,0,right,(null)
152533,0,left,(null)
152899,0,right,(null)
154199,0,left,(null)
154667,0,right,(null)
155100,0,left,(null)
155699,0,right,(null)
156266,0,left,(null)
156600,0,right,(null)
156867,0,away,(null)
15866,0,left,(null)
158800,0,right,(null)
159399,0,left,(null)
160367,0,right,(null)
161466,0,left,(null)
162399,0,right,(null)
162667,0,left,(null)
163434,0,right,(null)
163833,0,left,(null)
164367,0,right,(null)
165266,0,left,(null)
166033,0,right,(null)
166699,0,left,(null)
167199,0,right,(null)
167667,0,left,(null)
167800,0,end,(null)
167833,0,right,(null)
168367,0,left,(null)
16966,0,right,(null)
170766,0,right,(null)
171466,0,left,(null)
172634,0,away,(null)
180134,0,left,(null)
182033,0,away,(null)
183833,0,left,(null)
185592,0,away,(null)
18634,0,left,(null)
1866,0,right,(null)
191766,0,end,(null)
191800,0,right,(null)
194399,0,left,(null)
195867,0,right,(null)
196966,0,left,(null)
19700,0,right,(null)
198333,0,right,(null)
199934,0,left,(null)
200800,0,right,(null)
20100,0,away,(null)
202699,0,left,(null)
204199,0,right,(null)
204533,0,left,(null)
205654,0,away,(null)
207934,0,left,(null)
208533,0,right,(null)
208800,0,away,(null)
20966,0,left,(null)
215733,0,end,(null)
215766,0,left,(null)
21700,0,right,(null)
217000,0,right,(null)
217899,0,left,(null)
219434,0,right,(null)
221266,0,left,(null)
222733,0,right,(null)
223699,0,left,(null)
224733,0,right,(null)
225300,0,away,(null)
227966,0,right,(null)
229800,0,left,(null)
230300,0,right,(null)
