Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, outofframe, end, peek, talk, fuss, point, preview, Instructions, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,left,(null)
101266,0,right,(null)
102833,0,away,(null)
10434,0,away,(null)
105000,0,right,(null)
105467,0,away,(null)
105866,0,right,(null)
107166,0,away,(null)
111500,0,left,(null)
113333,0,away,(null)
115933,2000,talk,(null)
118067,0,left,(null)
118933,0,right,(null)
119666,0,left,(null)
11967,0,left,(null)
119933,0,right,(null)
120067,0,end,(null)
120099,0,left,(null)
12234,0,right,(null)
124833,0,right,(null)
12567,0,away,(null)
127766,0,away,(null)
128233,0,right,(null)
129533,0,left,(null)
131266,0,right,(null)
132033,0,left,(null)
134800,0,right,(null)
13833,0,left,(null)
139867,0,left,(null)
144100,0,end,(null)
144146,0,right,(null)
14500,0,right,(null)
145300,0,left,(null)
145934,0,right,(null)
147000,0,left,(null)
14767,0,away,(null)
147766,0,away,(null)
150966,0,right,(null)
153233,0,away,(null)
157000,0,right,(null)
157500,0,left,(null)
159333,0,away,(null)
16200,0,left,(null)
167667,0,right,(null)
168100,0,end,(null)
169233,0,left,(null)
171000,0,right,(null)
173766,0,away,(null)
174567,0,right,(null)
17899,0,right,(null)
180300,0,away,(null)
18867,0,left,(null)
190100,0,right,(null)
192100,0,end,(null)
192966,0,left,(null)
193600,0,right,(null)
194134,0,away,(null)
196434,0,right,(null)
197367,0,away,(null)
200,0,right,(null)
20200,0,right,(null)
21000,0,left,(null)
212934,0,left,(null)
214067,0,right,(null)
215100,0,left,(null)
216033,0,right,(null)
216067,0,end,(null)
21700,0,right,(null)
217033,0,left,(null)
217634,0,away,(null)
2200,0,right,(null)
223500,0,left,(null)
224567,0,away,(null)
23566,0,left,(null)
23966,0,end,(null)
240100,0,end,(null)
240134,0,right,(null)
241567,0,away,(null)
24166,0,right,(null)
25100,0,left,(null)
26000,0,right,(null)
262933,0,left,(null)
264100,0,end,(null)
264134,0,away,(null)
265166,0,left,(null)
266234,0,away,(null)
266867,0,right,(null)
267834,0,left,(null)
270166,0,away,(null)
27299,0,left,(null)
281334,0,left,(null)
28134,0,right,(null)
282033,0,away,(null)
288134,0,end,(null)
28899,0,away,(null)
289166,0,left,(null)
290234,0,away,(null)
298367,5666,talk,(null)
305166,0,right,(null)
30566,0,left,(null)
306766,0,away,(null)
312166,0,end,(null)
312200,0,right,(null)
313242,0,left,(null)
313799,0,right,(null)
314334,0,left,(null)
314566,0,away,(null)
31695,0,right,(null)
324634,0,left,(null)
324967,0,right,(null)
326967,0,left,(null)
328200,0,right,(null)
328734,0,away,(null)
33633,0,left,(null)
337710,0,left,(null)
340600,0,right,(null)
343467,0,left,(null)
345166,0,right,(null)
345533,0,left,(null)
354666,0,right,(null)
35500,0,right,(null)
356741,0,left,(null)
358834,0,right,(null)
35976,0,left,(null)
360234,0,end,(null)
360867,0,left,(null)
361100,0,away,(null)
36867,0,away,(null)
374200,0,right,(null)
374700,0,away,(null)
384234,0,end,(null)
384266,0,right,(null)
384766,0,left,(null)
385799,0,away,(null)
389000,0,right,(null)
389834,0,left,(null)
390666,0,right,(null)
391799,0,away,(null)
399134,0,right,(null)
399533,0,left,(null)
400442,0,away,(null)
403200,0,left,(null)
404899,0,right,(null)
405200,0,away,(null)
4066,0,left,(null)
408234,0,end,(null)
408266,0,left,(null)
409933,0,right,(null)
41067,0,left,(null)
415433,0,away,(null)
418399,2568,talk,(null)
