Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,right,(null)
101599,0,right,(null)
104833,0,left,(null)
105300,0,right,(null)
106800,0,left,(null)
108500,0,right,(null)
110300,0,left,(null)
112666,0,right,(null)
115000,0,left,(null)
118234,0,away,(null)
119067,0,left,(null)
119766,0,end,(null)
124567,0,right,(null)
128466,0,away,(null)
128899,0,right,(null)
129199,0,left,(null)
133667,0,away,(null)
134367,0,right,(null)
139533,0,left,(null)
143733,0,end,(null)
143766,0,right,(null)
146567,0,left,(null)
148634,0,right,(null)
149766,0,left,(null)
150867,0,right,(null)
155966,0,left,(null)
159000,0,right,(null)
160867,0,left,(null)
162067,0,away,(null)
164167,0,left,(null)
167067,0,right,(null)
167699,0,end,(null)
167733,0,away,(null)
168800,0,right,(null)
177600,0,left,(null)
178033,0,right,(null)
185300,0,left,(null)
185733,0,right,(null)
186766,0,left,(null)
187667,0,right,(null)
191634,0,end,(null)
191667,0,away,(null)
193033,0,right,(null)
194567,0,left,(null)
196634,0,right,(null)
19733,1167,talk,"What's happening?"
20034,0,away,(null)
214367,0,left,(null)
215600,0,end,(null)
216600,0,right,(null)
217300,0,left,(null)
21934,0,left,(null)
219634,0,away,(null)
220199,0,left,(null)
224199,0,away,(null)
237899,0,left,(null)
23899,0,end,(null)
23934,0,right,(null)
239466,0,right,(null)
239567,0,end,(null)
251733,0,left,(null)
253699,0,right,(null)
25500,0,left,(null)
258734,0,left,(null)
263266,0,right,(null)
263500,0,end,(null)
271933,0,away,(null)
273467,870,talk,"What's happening?"
275782,949,talk,"What's happening?"
278799,0,left,(null)
279066,665,talk,"What's happening?"
279134,0,right,(null)
2799,0,left,(null)
280700,0,away,(null)
285829,620,talk,"What's happening?"
287467,0,end,(null)
287500,0,right,(null)
289266,0,left,(null)
289734,0,right,(null)
290399,0,left,(null)
290967,0,right,(null)
292166,0,left,(null)
292734,0,right,(null)
295166,0,left,(null)
295334,0,right,(null)
297834,0,left,(null)
298367,0,right,(null)
301100,0,left,(null)
301500,0,right,(null)
302033,0,away,(null)
304399,767,talk,"What's happening?"
309399,968,talk,"What's happening?"
310899,500,talk,"Hmm?"
31134,0,right,(null)
311433,0,end,(null)
311467,0,right,(null)
321433,0,left,(null)
324799,0,right,(null)
327334,0,left,(null)
32799,0,left,(null)
329566,0,right,(null)
