Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, outofframe, end, peek, talk, fuss, point, preview, Instructions, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,right,(null)
10399,0,away,(null)
105933,0,left,(null)
108300,0,right,(null)
108833,0,away,(null)
111500,0,right,(null)
111634,0,left,(null)
113933,0,away,(null)
117100,0,right,(null)
11767,0,left,(null)
119833,0,end,(null)
123967,0,left,(null)
128966,0,right,(null)
134033,0,left,(null)
13434,0,right,(null)
139067,0,right,(null)
143699,0,end,(null)
143733,0,left,(null)
146100,0,right,(null)
155167,0,left,(null)
159634,0,right,(null)
162434,0,left,(null)
164399,0,away,(null)
167634,0,end,(null)
167667,0,right,(null)
169100,0,left,(null)
173067,0,right,(null)
174634,0,away,(null)
176233,0,right,(null)
176800,0,left,(null)
179833,0,right,(null)
180899,0,left,(null)
182600,0,right,(null)
184800,0,left,(null)
185434,0,away,(null)
187000,0,right,(null)
191699,0,end,(null)
198867,0,away,(null)
200466,0,right,(null)
210266,0,away,(null)
214833,0,right,(null)
215466,0,end,(null)
220500,0,left,(null)
221033,0,right,(null)
223699,0,away,(null)
226033,0,left,(null)
226466,0,right,(null)
23927,0,end,(null)
239399,0,end,(null)
247434,0,left,(null)
248300,0,right,(null)
261266,0,left,(null)
263367,0,end,(null)
263399,0,right,(null)
272700,0,left,(null)
278867,0,away,(null)
280967,0,right,(null)
284134,0,left,(null)
284834,0,away,(null)
287066,0,end,(null)
287100,0,right,(null)
300367,0,away,(null)
306700,0,right,(null)
306967,0,left,(null)
308600,0,right,(null)
310834,0,end,(null)
319234,0,away,(null)
323033,0,left,(null)
325766,0,right,(null)
334834,0,end,(null)
337234,0,left,(null)
337299,0,away,(null)
33734,0,left,(null)
340166,0,right,(null)
340500,0,left,(null)
341299,0,right,(null)
341766,0,away,(null)
347367,0,left,(null)
347433,0,right,(null)
34833,0,right,(null)
350066,0,left,(null)
350467,0,away,(null)
358766,0,end,(null)
358799,0,left,(null)
368700,0,right,(null)
369266,0,left,(null)
373166,0,right,(null)
374100,0,away,(null)
374666,0,left,(null)
375266,0,right,(null)
377100,0,left,(null)
377533,0,away,(null)
379566,0,left,(null)
380134,0,right,(null)
38034,0,left,(null)
380899,0,left,(null)
382766,0,end,(null)
382799,0,right,(null)
384634,0,left,(null)
385700,0,right,(null)
386100,1833,outofframe,(null)
392933,0,left,(null)
393899,0,right,(null)
398367,0,left,(null)
398933,0,away,(null)
400834,0,right,(null)
404066,0,left,(null)
404899,0,right,(null)
406600,0,end,(null)
406634,0,left,(null)
413533,0,right,(null)
416399,0,away,(null)
417367,0,right,(null)
419399,0,left,(null)
423634,0,right,(null)
425467,0,left,(null)
426766,0,right,(null)
428566,0,left,(null)
430566,0,end,(null)
430600,0,right,(null)
431134,0,away,(null)
43133,0,right,(null)
433734,0,right,(null)
43833,0,left,(null)
438933,0,left,(null)
439634,0,away,(null)
442901,0,right,(null)
44433,0,right,(null)
445899,0,away,(null)
45433,0,left,(null)
454367,0,left,(null)
454467,0,end,(null)
454500,0,right,(null)
457634,0,left,(null)
45933,0,right,(null)
462600,0,right,(null)
466467,0,left,(null)
468566,0,away,(null)
472467,0,right,(null)
476933,0,away,(null)
478334,0,end,(null)
478367,0,right,(null)
47900,0,end,(null)
47933,0,left,(null)
479799,0,left,(null)
480867,0,right,(null)
486533,0,left,(null)
493834,0,away,(null)
496134,0,left,(null)
496799,0,right,(null)
498334,0,left,(null)
501766,0,right,(null)
502266,0,end,(null)
502299,0,away,(null)
503734,0,right,(null)
504266,0,away,(null)
504734,0,left,(null)
509200,0,right,(null)
511166,0,left,(null)
512966,0,right,(null)
514700,0,left,(null)
517867,0,away,(null)
52166,0,right,(null)
523267,0,right,(null)
524966,0,left,(null)
526267,0,end,(null)
526299,0,right,(null)
527633,0,left,(null)
531833,0,right,(null)
537267,0,away,(null)
540000,567,outofframe,(null)
540541,0,left,(null)
542267,0,right,(null)
544035,0,left,(null)
544133,0,away,(null)
546401,533,outofframe,(null)
546900,0,left,(null)
550267,0,end,(null)
550299,0,right,(null)
557133,0,left,(null)
557533,0,right,(null)
558666,0,away,(null)
560133,0,left,(null)
560567,0,right,(null)
561234,0,left,(null)
5666,0,left,(null)
57133,0,left,(null)
574172,0,end,(null)
62034,0,right,(null)
67766,0,left,(null)
71933,0,end,(null)
71967,0,right,(null)
76099,0,away,(null)
78000,0,right,(null)
79634,0,left,(null)
81900,0,away,(null)
84599,0,right,(null)
85333,0,away,(null)
90300,0,left,(null)
9534,0,right,(null)
95933,0,end,(null)
95967,0,right,(null)
0,0,over_shoulder,(null)
523140,0,other_posture,held in air by parent
540500,0,over_shoulder,(null)
