Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

103199,0,left,(null)
108666,0,right,(null)
114234,0,left,(null)
118833,0,right,(null)
119800,0,end,(null)
119833,0,left,(null)
120234,0,right,(null)
124400,0,left,(null)
129766,0,right,(null)
134699,0,left,(null)
139600,0,right,(null)
14000,0,left,(null)
143766,0,end,(null)
143800,0,right,(null)
152033,0,left,(null)
15300,0,right,(null)
155634,0,right,(null)
159600,0,left,(null)
162033,0,right,(null)
163800,0,left,(null)
166266,0,right,(null)
167567,0,left,(null)
167733,0,end,(null)
167766,0,right,(null)
169500,0,left,(null)
170000,0,right,(null)
171833,0,left,(null)
173033,0,right,(null)
173766,0,left,(null)
179434,0,right,(null)
182300,0,left,(null)
183466,0,right,(null)
187934,0,left,(null)
188800,0,right,(null)
189367,0,left,(null)
191699,0,end,(null)
191718,0,left,(null)
191766,0,right,(null)
194833,0,left,(null)
196533,0,right,(null)
199733,0,left,(null)
20600,0,left,(null)
215667,0,end,(null)
215699,0,right,(null)
219766,0,left,(null)
223899,0,right,(null)
226833,0,away,(null)
230167,0,right,(null)
230966,0,left,(null)
231766,0,right,(null)
232634,0,left,(null)
234766,0,right,(null)
23634,0,right,(null)
23934,0,end,(null)
239634,0,end,(null)
23966,0,right,(null)
239667,0,right,(null)
250699,0,left,(null)
261200,0,distract,hands covering baby's face
263600,0,end,(null)
263634,0,right,(null)
279734,0,left,(null)
287566,0,end,(null)
287600,0,right,(null)
294071,0,left,(null)
306500,0,right,(null)
308134,0,left,(null)
310134,0,right,(null)
31066,0,left,(null)
311234,0,left,(null)
311533,0,end,(null)
311566,0,right,(null)
315134,0,left,(null)
317467,0,right,(null)
319634,0,left,(null)
323734,0,away,(null)
325299,0,left,(null)
32534,0,right,(null)
326200,0,right,(null)
329566,0,left,(null)
330500,0,away,(null)
33400,0,left,(null)
334066,934,talk,(null)
335500,0,end,(null)
335533,0,right,(null)
33867,0,right,(null)
340600,0,left,(null)
341334,0,right,(null)
343299,0,left,(null)
346234,0,right,(null)
352299,0,left,(null)
354734,1332,outofframe,(null)
356533,0,left,(null)
35734,0,away,(null)
357967,0,right,(null)
359500,0,end,(null)
359533,0,right,(null)
36800,0,left,(null)
377799,0,away,(null)
379100,0,left,(null)
380834,0,away,(null)
382334,0,left,(null)
383467,0,end,(null)
383500,0,right,(null)
390533,0,left,(null)
406566,0,right,(null)
407467,0,end,(null)
407500,0,right,(null)
40799,0,right,(null)
411933,0,left,(null)
416033,0,away,(null)
418033,0,left,(null)
42067,0,left,(null)
421033,0,away,(null)
422166,1034,talk,(null)
424867,0,left,(null)
427634,0,right,(null)
431433,0,end,(null)
431467,0,left,(null)
432500,0,right,(null)
435033,0,left,(null)
437566,0,right,(null)
44166,0,right,(null)
441899,0,left,(null)
449433,0,right,(null)
450899,0,left,(null)
455399,0,end,(null)
455433,0,away,(null)
456299,0,left,(null)
45666,0,away,(null)
460500,0,away,(null)
464566,0,left,(null)
465500,0,away,(null)
467766,0,left,(null)
477566,0,away,(null)
47900,0,end,(null)
47933,0,left,(null)
479367,0,end,(null)
479399,0,left,(null)
480734,0,right,(null)
489033,0,away,(null)
491899,0,left,(null)
493967,0,right,(null)
502000,0,left,(null)
503334,0,end,(null)
503367,0,right,(null)
505666,0,left,(null)
506399,0,right,(null)
512500,0,left,(null)
512900,0,right,(null)
514700,0,left,(null)
515367,0,right,(null)
521067,0,away,(null)
521833,0,left,(null)
52299,0,right,(null)
527333,0,end,(null)
527367,0,right,(null)
535567,0,left,(null)
541166,0,away,(null)
546099,0,left,(null)
546934,0,away,(null)
551299,0,end,(null)
551333,0,left,(null)
553234,0,right,(null)
554333,0,left,(null)
555200,0,right,(null)
57400,0,left,(null)
575299,0,end,(null)
62534,0,right,(null)
67567,0,left,(null)
71900,0,end,(null)
71933,0,right,(null)
72099,0,left,(null)
73033,0,right,(null)
75734,0,left,(null)
77366,0,right,(null)
78734,0,left,(null)
79666,0,right,(null)
80467,0,left,(null)
81467,0,right,(null)
82166,0,left,(null)
86,0,right,(null)
86833,0,right,(null)
88932,0,left,(null)
95166,0,right,(null)
95500,0,left,(null)
95833,0,end,(null)
95866,0,right,(null)
0,0,over_shoulder,(null)
