Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, outofframe, end, peek, talk, fuss, point, preview, Instructions, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,left,(null)
10034,0,left,(null)
100666,0,right,(null)
102134,0,away,(null)
103533,0,right,(null)
104500,0,left,(null)
104866,0,right,(null)
106500,0,away,(null)
108266,0,right,(null)
108500,0,left,(null)
108699,0,away,(null)
109800,0,right,(null)
111266,0,left,(null)
112266,0,right,(null)
11333,0,right,(null)
116033,0,left,(null)
11633,0,away,(null)
116433,0,right,(null)
118467,0,left,(null)
119800,0,end,(null)
119833,0,right,(null)
124199,0,left,(null)
127800,0,right,(null)
128266,0,left,(null)
129000,0,right,(null)
133588,0,away,(null)
134300,0,right,(null)
134533,0,left,(null)
136067,0,away,(null)
137100,0,right,(null)
143766,0,end,(null)
143800,0,left,(null)
144733,0,right,(null)
145899,0,away,(null)
14734,0,left,(null)
149867,0,left,(null)
150500,0,right,(null)
154500,0,away,(null)
16066,0,right,(null)
167067,0,right,(null)
167733,0,end,(null)
167766,0,left,(null)
16799,0,away,(null)
168934,0,right,(null)
169800,0,away,(null)
184067,0,left,(null)
185000,0,away,(null)
191733,0,end,(null)
191766,0,right,(null)
192699,0,away,(null)
194033,0,right,(null)
194266,0,left,(null)
195266,0,away,(null)
203333,0,left,(null)
203567,0,away,(null)
211699,0,left,(null)
212167,0,away,(null)
215699,0,end,(null)
216367,0,left,(null)
218623,0,right,(null)
218833,0,left,(null)
219833,0,away,(null)
2233,0,right,(null)
224968,0,left,(null)
226033,0,right,(null)
227966,0,left,(null)
228399,0,right,(null)
229266,0,away,(null)
236699,0,right,(null)
23934,0,end,(null)
239367,0,left,(null)
239667,0,end,(null)
239699,0,right,(null)
240233,0,left,(null)
241934,0,right,(null)
243300,0,left,(null)
243800,0,right,(null)
245300,0,left,(null)
247266,0,right,(null)
249733,0,away,(null)
25066,0,right,(null)
254266,0,right,(null)
261967,0,left,(null)
263433,0,right,(null)
263665,0,end,(null)
266266,0,left,(null)
267134,0,away,(null)
268399,0,right,(null)
271433,0,away,(null)
276700,0,right,(null)
278299,0,away,(null)
280566,0,right,(null)
281766,0,away,(null)
28566,0,left,(null)
287634,0,end,(null)
29034,0,right,(null)
295933,0,left,(null)
296933,0,away,(null)
297634,1432,peek,(null)
299634,0,left,(null)
299967,0,right,(null)
300234,0,away,(null)
30100,0,away,(null)
301033,0,left,(null)
301334,0,right,(null)
302033,0,away,(null)
306000,0,left,(null)
306814,0,right,(null)
307234,0,away,(null)
30966,0,right,(null)
311600,0,end,(null)
311634,0,right,(null)
31333,0,away,(null)
314334,0,left,(null)
316834,0,right,(null)
317200,0,left,(null)
319799,0,right,(null)
321134,0,left,(null)
321500,0,away,(null)
323834,0,right,(null)
325799,0,left,(null)
328634,0,right,(null)
328899,0,away,(null)
330033,0,right,(null)
331467,0,away,(null)
333899,0,right,(null)
335566,0,end,(null)
336467,0,away,(null)
336834,0,right,(null)
340734,0,away,(null)
345666,1334,point,(null)
347433,0,right,(null)
348634,0,away,(null)
359533,0,end,(null)
359899,0,right,(null)
361734,0,away,(null)
383500,0,end,(null)
383533,4740,point,(null)
385399,2878,talk,(null)
386533,0,left,(null)
389033,0,right,(null)
389600,0,away,(null)
398200,0,right,(null)
398933,0,away,(null)
407467,0,end,(null)
407500,0,right,(null)
409600,0,away,(null)
413367,0,right,(null)
415000,0,away,(null)
42099,0,right,(null)
422367,0,right,(null)
