Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,right,(null)
10466,0,right,(null)
105467,0,left,(null)
106533,0,right,(null)
106936,0,left,(null)
107666,0,away,(null)
108103,0,right,(null)
108869,0,away,(null)
109333,0,left,(null)
109800,0,right,(null)
119800,0,end,(null)
119833,0,left,(null)
119900,0,right,(null)
123423,0,left,(null)
129256,0,right,(null)
13133,0,away,(null)
131365,0,left,(null)
131676,0,right,(null)
133966,0,left,(null)
13666,0,left,(null)
139233,0,right,(null)
143600,0,end,(null)
149434,0,left,(null)
151590,0,right,(null)
153167,0,left,(null)
153434,0,right,(null)
15366,0,right,(null)
155671,0,away,(null)
156399,0,right,(null)
167434,0,end,(null)
175186,0,left,(null)
175766,0,right,(null)
191399,0,end,(null)
192634,0,away,(null)
194596,0,left,(null)
195805,0,right,(null)
19733,0,away,(null)
198500,0,left,(null)
199100,0,right,(null)
201567,0,left,(null)
202100,0,right,(null)
204800,0,left,(null)
205333,0,right,(null)
20566,0,left,(null)
207800,0,left,(null)
208434,0,right,(null)
21066,0,right,(null)
210800,0,left,(null)
211134,0,right,(null)
215333,0,end,(null)
216833,0,left,(null)
217266,0,right,(null)
227899,0,left,(null)
228367,0,away,(null)
229667,0,left,(null)
230699,0,right,(null)
234300,0,left,(null)
235199,0,right,(null)
23833,0,end,(null)
238800,0,left,(null)
239167,0,end,(null)
239199,0,right,(null)
241466,0,away,(null)
243567,0,right,(null)
25611,0,left,(null)
262967,0,end,(null)
263000,0,left,(null)
26380,0,right,(null)
264299,0,right,(null)
265166,0,left,(null)
265799,0,right,(null)
266367,0,left,(null)
267899,0,away,(null)
27371,0,left,(null)
275666,0,left,(null)
278467,0,away,(null)
282500,0,right,(null)
285700,0,left,(null)
286367,0,right,(null)
286967,0,end,(null)
287602,0,left,(null)
288166,0,right,(null)
290200,0,left,(null)
290867,0,right,(null)
292600,0,left,(null)
294867,0,right,(null)
297000,0,left,(null)
300266,0,right,(null)
301734,0,left,(null)
304100,0,right,(null)
307803,0,left,(null)
308600,0,right,(null)
310933,0,end,(null)
312033,0,left,(null)
314033,0,right,(null)
314634,0,left,(null)
319500,0,right,(null)
321869,0,left,(null)
32266,0,right,(null)
324000,0,right,(null)
326367,0,away,(null)
327166,0,left,(null)
329066,0,right,(null)
329933,0,left,(null)
331166,0,right,(null)
331933,0,left,(null)
33234,0,left,(null)
333933,0,right,(null)
334899,0,end,(null)
358899,0,end,(null)
358933,0,left,(null)
35933,0,right,(null)
363100,0,right,(null)
365367,0,left,(null)
368100,0,right,(null)
372000,0,left,(null)
373066,0,right,(null)
37633,0,left,(null)
377133,0,left,(null)
378066,0,right,(null)
378933,0,left,(null)
379899,0,right,(null)
380868,0,left,(null)
381600,0,away,(null)
38166,0,right,(null)
382634,0,end,(null)
382666,0,left,(null)
383367,0,away,(null)
38660,0,away,(null)
39408,0,left,(null)
39716,0,away,(null)
401367,0,right,(null)
402201,0,left,(null)
406500,0,end,(null)
406533,0,right,(null)
40666,0,left,(null)
411933,0,left,(null)
412334,0,away,(null)
41266,0,away,(null)
415100,0,right,(null)
416066,0,left,(null)
418766,0,away,(null)
418899,0,left,(null)
420834,0,right,(null)
422134,0,left,(null)
426134,0,right,(null)
428510,0,left,(null)
430600,0,end,(null)
430634,0,right,(null)
432799,0,left,(null)
434467,0,right,(null)
440816,0,left,(null)
442899,0,right,(null)
444467,0,away,(null)
445000,0,left,(null)
447200,0,away,(null)
454634,0,left,(null)
455234,0,away,(null)
456533,0,left,(null)
457334,0,right,(null)
459600,0,left,(null)
459634,0,away,(null)
46203,0,right,(null)
465399,0,left,(null)
465899,0,right,(null)
467433,0,away,(null)
469649,0,left,(null)
470200,0,away,(null)
474200,0,left,(null)
474734,0,right,(null)
475799,0,away,(null)
478500,0,end,(null)
478533,0,right,(null)
47900,0,end,(null)
47933,0,left,(null)
493166,0,left,(null)
494000,0,right,(null)
494666,0,away,(null)
496000,0,right,(null)
496885,0,away,(null)
500734,0,left,(null)
501134,0,right,(null)
502334,0,end,(null)
503334,0,left,(null)
504100,0,right,(null)
504799,0,left,(null)
506734,0,away,(null)
508166,0,left,(null)
508500,0,right,(null)
509334,0,away,(null)
5099,0,left,(null)
514400,0,right,(null)
515633,0,left,(null)
516299,0,away,(null)
521591,0,right,(null)
522500,0,left,(null)
52330,0,right,(null)
524500,0,right,(null)
525067,0,away,(null)
526367,0,end,(null)
526400,0,right,(null)
527400,0,left,(null)
539867,0,right,(null)
540799,0,left,(null)
544767,0,away,(null)
550200,0,right,(null)
550434,0,end,(null)
550466,0,left,(null)
553966,0,right,(null)
554666,0,left,(null)
555772,0,right,(null)
556867,0,away,(null)
562378,0,right,(null)
562966,0,away,(null)
564867,0,left,(null)
565367,0,right,(null)
566333,0,away,(null)
568400,2053,fuss,(null)
569099,0,right,(null)
569533,0,away,(null)
56966,0,left,(null)
573099,0,left,(null)
574333,0,right,(null)
574434,0,end,(null)
62091,0,right,(null)
64099,0,away,(null)
64734,0,right,(null)
67433,0,left,(null)
6934,0,right,(null)
71866,0,end,(null)
71900,0,right,(null)
77724,0,left,(null)
78800,0,right,(null)
82366,0,left,(null)
84731,0,away,(null)
91501,0,right,(null)
95866,0,end,(null)
9633,0,left,(null)
0,0,over_shoulder,(null)
