Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, preview, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,left,(null)
101143,0,right,(null)
10473,0,away,(null)
107178,0,away,(null)
111610,0,left,(null)
113411,0,away,(null)
118067,0,right,(null)
11886,0,left,(null)
119697,0,away,(null)
119899,0,right,(null)
120067,0,end,(null)
120114,0,left,(null)
12240,0,right,(null)
124945,0,right,(null)
12633,0,away,(null)
127780,0,away,(null)
128233,0,right,(null)
129532,0,left,(null)
131347,0,right,(null)
132044,0,left,(null)
13263,0,left,(null)
134737,0,right,(null)
139738,0,left,(null)
144100,0,end,(null)
144134,0,right,(null)
14537,0,right,(null)
145560,0,left,(null)
145940,0,right,(null)
147828,0,away,(null)
150934,0,right,(null)
152370,0,left,(null)
153246,0,away,(null)
156606,0,right,(null)
158584,0,left,(null)
159350,0,away,(null)
16160,0,left,(null)
167948,0,left,(null)
168100,0,end,(null)
168132,0,right,(null)
169477,0,left,(null)
170798,0,right,(null)
174407,0,away,(null)
174776,0,right,(null)
177965,0,left,(null)
17893,0,right,(null)
179184,0,right,(null)
180349,0,away,(null)
18866,0,left,(null)
190068,0,right,(null)
191409,0,left,(null)
192100,0,end,(null)
192134,0,right,(null)
193003,0,left,(null)
193592,0,right,(null)
194181,0,away,(null)
196431,0,right,(null)
197575,0,away,(null)
20237,0,right,(null)
20938,0,left,(null)
212981,0,left,(null)
21348,0,right,(null)
214167,0,right,(null)
215273,0,left,(null)
216067,0,end,(null)
216100,0,right,(null)
217116,0,left,(null)
217657,0,away,(null)
223402,0,right,(null)
224644,0,away,(null)
2266,0,right,(null)
22660,0,left,(null)
23079,0,right,(null)
231,0,right,(null)
23553,0,left,(null)
23966,0,end,(null)
24000,0,left,(null)
240100,0,end,(null)
240134,0,right,(null)
241567,0,away,(null)
24200,0,right,(null)
25181,0,left,(null)
26030,0,right,(null)
263052,0,right,(null)
264100,0,end,(null)
264134,0,away,(null)
265132,0,left,(null)
265234,0,right,(null)
266239,0,away,(null)
267169,0,right,(null)
267800,0,left,(null)
269033,0,right,(null)
270248,0,away,(null)
27304,0,left,(null)
281123,0,right,(null)
281299,0,left,(null)
28141,0,right,(null)
282140,0,away,(null)
288134,0,end,(null)
288166,0,away,(null)
288913,0,right,(null)
290248,0,away,(null)
29637,0,left,(null)
305169,0,right,(null)
306855,0,away,(null)
312166,0,end,(null)
312195,0,right,(null)
313160,0,left,(null)
313801,0,right,(null)
314330,0,left,(null)
314802,0,away,(null)
31693,0,right,(null)
324468,0,left,(null)
325010,0,right,(null)
326670,0,left,(null)
328298,0,right,(null)
328773,0,away,(null)
336200,0,end,(null)
336234,0,away,(null)
33735,0,left,(null)
337562,0,right,(null)
343041,0,left,(null)
345209,0,right,(null)
345579,0,left,(null)
354572,0,right,(null)
35501,0,right,(null)
356713,0,left,(null)
358889,0,right,(null)
35925,0,left,(null)
359438,0,left,(null)
360234,0,end,(null)
360266,0,left,(null)
360566,0,right,(null)
360867,0,left,(null)
361143,0,away,(null)
36892,0,away,(null)
373557,0,right,(null)
374803,0,away,(null)
384234,0,end,(null)
384277,0,left,(null)
385801,0,away,(null)
388546,0,left,(null)
389043,0,right,(null)
389821,0,left,(null)
390670,0,right,(null)
391791,0,away,(null)
399610,0,left,(null)
400498,0,away,(null)
403151,0,left,(null)
404901,0,right,(null)
405361,0,away,(null)
4073,0,left,(null)
408234,0,end,(null)
