Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, outofframe, end, peek, talk, fuss, point, preview, Instructions, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,right,(null)
102567,0,left,(null)
103533,0,right,(null)
107599,0,away,(null)
108333,0,right,(null)
108567,0,away,(null)
108967,0,right,(null)
111967,0,left,(null)
114533,0,right,(null)
118766,0,end,(null)
118800,0,left,(null)
118866,0,right,(null)
123766,0,left,(null)
12399,0,away,(null)
128233,0,right,(null)
133199,0,left,(null)
13734,0,right,(null)
138300,0,right,(null)
14000,0,left,(null)
142634,0,end,(null)
146300,0,away,(null)
14800,0,right,(null)
149000,0,left,(null)
149466,0,right,(null)
152100,0,left,(null)
153085,0,away,(null)
154300,0,left,(null)
154600,0,right,(null)
155067,0,away,(null)
157134,0,left,(null)
157867,0,right,(null)
161667,0,away,(null)
162300,0,left,(null)
162966,0,right,(null)
166500,0,end,(null)
169766,0,left,(null)
17134,0,left,(null)
171733,0,away,(null)
172199,0,right,(null)
172600,0,away,(null)
174367,0,left,(null)
174867,0,right,(null)
175333,0,away,(null)
175899,0,right,(null)
177399,0,left,(null)
178466,0,right,(null)
180766,0,away,(null)
182667,0,right,(null)
183466,0,away,(null)
183867,0,right,(null)
184333,0,away,(null)
184800,0,right,(null)
186100,0,left,(null)
186867,0,right,(null)
187266,0,away,(null)
187733,0,left,(null)
188367,0,right,(null)
189067,0,left,(null)
189634,0,right,(null)
190033,0,away,(null)
190466,0,end,(null)
190500,0,right,(null)
190899,0,left,(null)
191733,0,right,(null)
200199,0,away,(null)
201367,0,right,(null)
203533,0,away,(null)
204567,0,left,(null)
206934,0,right,(null)
212134,0,away,(null)
212533,0,right,(null)
214367,0,end,(null)
217167,0,left,(null)
21867,0,away,(null)
219867,0,away,(null)
222167,0,left,(null)
224399,0,away,(null)
22534,0,left,(null)
228634,0,right,(null)
230300,0,left,(null)
230899,0,right,(null)
23367,0,right,(null)
233800,0,left,(null)
234199,0,right,(null)
23466,0,end,(null)
235367,0,away,(null)
235934,0,left,(null)
237634,0,right,(null)
238261,0,end,(null)
238300,0,left,(null)
238800,0,right,(null)
242067,0,away,(null)
242634,0,left,(null)
243733,0,right,(null)
246000,0,away,(null)
247067,0,left,(null)
249867,0,right,(null)
257700,0,away,(null)
258134,0,right,(null)
26000,0,left,(null)
261634,0,away,(null)
262200,0,end,(null)
262234,0,right,(null)
262334,0,left,(null)
