Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,right,(null)
10500,0,away,(null)
106033,0,left,(null)
108300,0,right,(null)
108833,0,away,(null)
111333,0,right,(null)
111634,0,left,(null)
113933,0,away,(null)
117166,0,right,(null)
11767,0,left,(null)
119833,0,end,(null)
119866,0,right,(null)
123967,0,left,(null)
128966,0,right,(null)
134033,0,left,(null)
13434,0,right,(null)
139266,0,right,(null)
143699,0,end,(null)
143733,0,left,(null)
146100,0,right,(null)
155167,0,left,(null)
159867,0,right,(null)
162434,0,left,(null)
164399,0,away,(null)
167634,0,end,(null)
167667,0,left,(null)
168199,0,right,(null)
169100,0,left,(null)
174233,0,right,(null)
174634,0,away,(null)
176266,0,left,(null)
179766,0,right,(null)
180899,0,left,(null)
182600,0,right,(null)
184533,0,left,(null)
185434,0,away,(null)
189199,0,left,(null)
190466,0,right,(null)
191699,0,end,(null)
191733,0,right,(null)
198899,0,away,(null)
200567,0,right,(null)
210266,0,away,(null)
215300,0,right,(null)
215466,0,end,(null)
215500,0,right,(null)
220567,0,left,(null)
221067,0,right,(null)
223766,0,away,(null)
226033,0,left,(null)
226466,0,right,(null)
23934,0,end,(null)
239399,0,end,(null)
239434,0,right,(null)
23966,0,right,(null)
247434,0,left,(null)
248300,0,right,(null)
256100,0,left,(null)
256600,0,right,(null)
261334,0,left,(null)
263367,0,end,(null)
263399,0,left,(null)
263899,0,right,(null)
272666,0,left,(null)
278834,0,away,(null)
282867,0,right,(null)
284134,0,left,(null)
284834,0,away,(null)
285766,0,right,(null)
286266,0,away,(null)
287066,0,end,(null)
287100,0,right,(null)
300433,0,away,(null)
302933,0,left,(null)
303433,0,away,(null)
305200,0,left,(null)
306066,0,away,(null)
306700,0,left,(null)
308600,0,right,(null)
310834,0,end,(null)
310867,0,right,(null)
31634,0,left,(null)
319266,0,away,(null)
323033,0,right,(null)
325000,0,left,(null)
325834,0,right,(null)
33099,0,right,(null)
334834,0,end,(null)
334867,0,right,(null)
337234,0,left,(null)
33734,0,left,(null)
337700,0,away,(null)
339867,0,left,(null)
340166,0,right,(null)
340500,0,left,(null)
341200,0,right,(null)
341834,0,away,(null)
346766,0,left,(null)
347533,0,right,(null)
34900,0,right,(null)
350066,0,left,(null)
350399,0,away,(null)
358766,0,end,(null)
358799,0,left,(null)
368766,0,right,(null)
369266,0,left,(null)
373200,0,right,(null)
374100,0,away,(null)
374666,0,left,(null)
375266,0,right,(null)
377066,0,left,(null)
377533,0,away,(null)
379399,0,left,(null)
380134,0,right,(null)
380899,0,left,(null)
38099,0,left,(null)
382766,0,end,(null)
382799,0,right,(null)
384899,0,left,(null)
385700,0,right,(null)
392867,0,left,(null)
393899,0,right,(null)
398367,0,left,(null)
399033,0,away,(null)
400799,0,right,(null)
404000,0,left,(null)
404899,0,right,(null)
406600,0,end,(null)
406634,0,left,(null)
413533,0,right,(null)
415100,0,left,(null)
416433,0,away,(null)
417234,0,left,(null)
417700,0,right,(null)
419467,0,left,(null)
423634,0,right,(null)
425467,0,left,(null)
426766,0,right,(null)
428634,0,left,(null)
430566,0,end,(null)
430600,0,right,(null)
431234,0,away,(null)
43133,0,right,(null)
433600,0,left,(null)
433867,0,right,(null)
43833,0,left,(null)
439000,0,left,(null)
439634,0,away,(null)
442867,0,right,(null)
443566,0,left,(null)
444433,0,right,(null)
44500,0,right,(null)
445899,0,away,(null)
45433,0,left,(null)
454467,0,end,(null)
454500,0,right,(null)
457634,0,left,(null)
46034,0,right,(null)
462467,0,right,(null)
466533,0,left,(null)
466802,1532,fuss,1
468566,0,away,(null)
472066,0,left,(null)
472467,0,right,(null)
472634,632,fuss,1
474737,1131,fuss,1
476933,0,away,(null)
478334,0,end,(null)
478367,0,right,(null)
47900,0,end,(null)
47933,0,left,(null)
479799,0,left,(null)
481033,0,right,(null)
486600,0,left,(null)
491467,799,fuss,1
493834,0,away,(null)
495734,0,left,(null)
495766,601,fuss,1
496799,0,right,(null)
498367,0,left,(null)
501766,0,right,(null)
502266,0,end,(null)
502299,0,away,(null)
503700,0,left,(null)
512966,0,right,(null)
514833,0,left,(null)
517200,0,away,(null)
52234,0,right,(null)
523267,0,right,(null)
524000,0,left,(null)
524666,0,right,(null)
525033,0,left,(null)
526267,0,end,(null)
526299,0,right,(null)
527966,0,left,(null)
531833,0,right,(null)
540000,528,outofframe,(null)
540567,0,left,(null)
542267,0,right,(null)
544434,0,away,(null)
546299,635,outofframe,(null)
546966,0,left,(null)
550267,0,end,(null)
550299,0,right,(null)
556567,0,away,(null)
557133,0,right,(null)
558734,0,away,(null)
559900,0,left,(null)
560533,0,right,(null)
561234,0,left,(null)
57133,0,left,(null)
5734,0,left,(null)
574172,0,end,(null)
62166,0,right,(null)
67333,0,left,(null)
71933,0,end,(null)
71967,0,right,(null)
76099,0,away,(null)
78000,0,right,(null)
79634,0,left,(null)
81900,0,away,(null)
90567,0,left,(null)
9534,0,right,(null)
95933,0,end,(null)
95967,0,right,(null)
0,0,over_shoulder,(null)
523140,0,other_posture,held in air by parent
540500,0,over_shoulder,(null)
