Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, end, peek, talk, point, fuss, instructions, preview, outofframe, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,right,(null)
102766,0,right,(null)
103300,0,left,(null)
103533,0,away,(null)
105400,0,right,(null)
105833,0,left,(null)
110533,0,right,(null)
111000,0,left,(null)
118199,0,right,(null)
118967,0,left,(null)
119500,0,end,(null)
119533,0,away,(null)
1200,0,right,(null)
120766,0,right,(null)
121000,0,left,(null)
123800,0,right,(null)
129266,0,left,(null)
133867,0,right,(null)
139333,0,left,(null)
143233,0,end,(null)
143434,0,right,(null)
145000,0,left,(null)
145533,0,right,(null)
147134,0,left,(null)
147699,0,away,(null)
148833,0,left,(null)
149466,0,right,(null)
149733,0,away,(null)
150367,0,left,(null)
153000,0,away,(null)
154167,0,right,(null)
156667,0,left,(null)
157500,0,away,(null)
158300,0,left,(null)
159300,0,away,(null)
161667,0,left,(null)
167100,0,end,(null)
167134,0,right,(null)
167466,0,left,(null)
169266,0,right,(null)
172966,0,left,(null)
174899,0,right,(null)
175233,0,away,(null)
175667,0,left,(null)
176333,0,away,(null)
178867,0,left,(null)
180266,0,right,(null)
182800,0,left,(null)
18466,0,right,(null)
185134,0,right,(null)
185567,0,left,(null)
190399,0,away,(null)
190567,0,end,(null)
191399,0,right,(null)
191899,0,left,(null)
19267,0,left,(null)
193899,0,away,(null)
195634,0,right,(null)
19666,0,right,(null)
197033,0,left,(null)
197333,0,away,(null)
197966,0,left,(null)
199667,0,away,(null)
200766,0,right,(null)
201134,0,left,(null)
202100,0,right,(null)
202434,0,away,(null)
20534,0,left,(null)
206266,0,left,(null)
206867,0,right,(null)
207233,0,away,(null)
210466,0,right,(null)
210966,0,left,(null)
212199,0,away,(null)
213000,0,left,(null)
21333,0,right,(null)
213500,0,away,(null)
214333,0,end,(null)
214367,0,right,(null)
215934,0,left,(null)
217966,0,away,(null)
219167,0,right,(null)
219600,0,left,(null)
221899,0,right,(null)
222634,0,away,(null)
223533,0,right,(null)
22534,0,away,(null)
225867,0,left,(null)
2266,0,left,(null)
227233,0,away,(null)
230833,0,left,(null)
234800,0,right,(null)
23600,0,right,(null)
23767,0,end,(null)
238067,0,left,(null)
238333,0,end,(null)
238533,0,right,(null)
240333,0,left,(null)
240733,0,right,(null)
24134,0,left,(null)
242434,0,left,(null)
243500,0,away,(null)
245266,0,left,(null)
24666,0,right,(null)
