Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,right,(null)
100266,0,left,(null)
101400,0,away,(null)
103666,0,right,(null)
107099,0,left,(null)
10866,0,right,(null)
108866,0,away,(null)
110333,0,right,(null)
111666,0,left,(null)
112634,0,right,(null)
113500,0,left,(null)
115634,0,away,(null)
119567,0,end,(null)
119599,0,left,(null)
12067,0,away,(null)
122366,0,right,(null)
122634,0,left,(null)
124433,0,right,(null)
126634,0,left,(null)
126866,0,right,(null)
129634,0,away,(null)
135766,0,right,(null)
139333,0,left,(null)
141533,0,away,(null)
142667,0,left,(null)
143634,0,right,(null)
149134,0,left,(null)
152167,0,right,(null)
155233,0,away,(null)
156399,0,right,(null)
157300,0,away,(null)
158500,0,right,(null)
160833,0,away,(null)
163033,0,right,(null)
165600,0,left,(null)
166533,0,right,(null)
167600,0,end,(null)
167634,0,right,(null)
17566,0,left,(null)
175766,0,left,(null)
191500,0,end,(null)
191533,0,right,(null)
195333,0,left,(null)
206266,0,right,(null)
209500,0,left,(null)
212634,0,away,(null)
213333,0,right,(null)
213766,0,left,(null)
214067,0,right,(null)
215533,0,end,(null)
215567,0,right,(null)
219766,0,left,(null)
223500,0,right,(null)
224033,0,away,(null)
227500,0,right,(null)
231634,0,left,(null)
232833,0,right,(null)
234266,0,away,(null)
235100,0,right,(null)
235634,0,left,(null)
235966,0,away,(null)
236699,0,right,(null)
23867,0,end,(null)
23899,0,right,(null)
239500,0,end,(null)
239533,0,right,(null)
262334,0,left,(null)
263433,0,end,(null)
263467,0,right,(null)
265334,0,left,(null)
268266,0,right,(null)
277600,0,left,(null)
285066,0,right,(null)
286867,0,left,(null)
287367,0,end,(null)
287399,0,right,(null)
305734,0,left,(null)
311299,0,end,(null)
311334,0,right,(null)
31534,0,left,(null)
316000,0,left,(null)
316634,0,away,(null)
320433,0,left,(null)
322367,0,away,(null)
325033,0,right,(null)
328166,0,left,(null)
333066,0,away,(null)
335266,0,end,(null)
335299,0,right,(null)
345266,0,left,(null)
350867,0,away,(null)
352033,0,left,(null)
354899,0,away,(null)
358967,0,right,(null)
359166,0,end,(null)
359200,0,right,(null)
361734,0,left,(null)
368533,0,right,(null)
378433,0,left,(null)
383066,0,end,(null)
383100,0,right,(null)
384666,0,left,(null)
388467,0,away,(null)
389200,0,left,(null)
394933,0,right,(null)
407033,0,end,(null)
407066,0,right,(null)
412700,0,left,(null)
42900,0,right,(null)
429467,0,right,(null)
430166,0,left,(null)
431000,0,end,(null)
431033,0,right,(null)
438066,0,left,(null)
4400,0,left,(null)
442766,0,right,(null)
44567,0,left,(null)
450100,0,left,(null)
453000,0,right,(null)
454933,0,end,(null)
454967,0,right,(null)
457600,0,left,(null)
460566,0,right,(null)
467766,0,left,(null)
470266,0,right,(null)
471834,0,left,(null)
476834,0,right,(null)
47867,0,end,(null)
478933,0,end,(null)
478967,0,right,(null)
47900,0,right,(null)
481134,0,left,(null)
497334,0,away,(null)
498433,0,left,(null)
500766,0,right,(null)
502867,0,end,(null)
502899,0,right,(null)
506933,0,left,(null)
511033,0,right,(null)
51133,0,left,(null)
51599,0,right,(null)
517234,0,away,(null)
519000,0,right,(null)
522067,0,left,(null)
52534,0,left,(null)
526799,0,end,(null)
526833,0,right,(null)
550666,0,end,(null)
550700,0,left,(null)
551400,0,right,(null)
55433,0,away,(null)
555234,0,left,(null)
557567,0,right,(null)
563067,0,left,(null)
563767,0,right,(null)
567000,0,left,(null)
57200,0,left,(null)
573900,0,right,(null)
574367,0,left,(null)
574666,0,end,(null)
57500,0,right,(null)
58833,0,left,(null)
60000,0,right,(null)
62099,0,left,(null)
62833,0,away,(null)
66599,0,right,(null)
66766,0,left,(null)
67467,0,right,(null)
67866,0,left,(null)
69067,0,right,(null)
6934,0,away,(null)
71734,0,end,(null)
71766,0,right,(null)
74933,0,left,(null)
81199,0,right,(null)
89000,0,left,(null)
95599,0,end,(null)
95634,0,right,(null)
97833,0,left,(null)
99400,0,away,(null)
0,0,over_shoulder,(null)
