Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,left,(null)
101567,0,away,(null)
113166,0,left,(null)
113699,0,right,(null)
115666,0,away,(null)
119533,233,peek,general
120033,0,end,(null)
120067,0,right,(null)
120134,0,away,(null)
120400,0,left,(null)
123900,0,right,(null)
12500,0,away,(null)
126533,0,away,(null)
130399,0,left,(null)
131233,0,away,(null)
132966,0,left,(null)
133899,0,away,(null)
135134,0,right,(null)
136567,0,left,(null)
14100,0,right,(null)
142134,0,away,(null)
143867,0,left,(null)
144033,0,end,(null)
144067,0,right,(null)
144533,0,left,(null)
146067,0,away,(null)
148300,0,right,(null)
148766,0,away,(null)
14934,0,away,(null)
150167,1232,point,(null)
150466,0,right,(null)
150833,0,left,(null)
152033,0,right,(null)
153033,0,away,(null)
154195,1338,point,(null)
155699,0,right,(null)
156067,0,left,(null)
156667,0,right,(null)
157500,0,away,(null)
160333,0,right,(null)
162134,0,left,(null)
163399,0,right,(null)
163600,0,away,(null)
166199,0,right,(null)
166867,0,away,(null)
168033,0,end,(null)
168067,0,away,(null)
168833,0,left,(null)
169167,0,right,(null)
170833,0,left,(null)
172300,0,right,(null)
174067,0,away,(null)
17899,0,right,(null)
18566,0,left,(null)
19166,0,right,(null)
192067,0,end,(null)
192100,0,away,(null)
192634,0,right,(null)
192800,1000,talk,?
193100,0,left,(null)
194266,0,away,(null)
195233,0,left,(null)
196466,0,right,(null)
197266,0,away,(null)
206000,1466,outofframe,(null)
20733,0,away,(null)
207500,0,away,(null)
208833,0,left,(null)
210733,0,away,(null)
215934,0,left,(null)
216067,0,end,(null)
216100,0,right,(null)
218300,0,away,(null)
220199,2267,outofframe,(null)
22066,0,right,(null)
222634,0,away,(null)
223500,0,left,(null)
224134,0,away,(null)
225733,0,left,(null)
227300,0,away,(null)
231100,2067,outofframe,(null)
233199,0,away,(null)
23367,0,left,(null)
24000,0,end,(null)
240067,0,end,(null)
240100,0,right,(null)
24034,0,away,(null)
240533,0,away,(null)
241667,500,talk,?
243766,534,outofframe,(null)
244333,0,away,(null)
244733,0,left,(null)
245199,0,away,(null)
248667,0,left,(null)
249134,0,away,(null)
25034,0,right,(null)
253500,0,left,(null)
254300,0,right,(null)
254533,0,away,(null)
261500,2566,outofframe,(null)
264066,0,end,(null)
264100,0,away,(null)
266867,0,left,(null)
267399,0,right,(null)
26833,0,away,(null)
268600,0,away,(null)
269500,1200,outofframe,(null)
270734,0,away,(null)
276457,10944,talk,?
278000,0,left,(null)
278766,0,away,(null)
285467,599,point,(null)
287033,0,left,(null)
288066,0,end,(null)
288100,0,left,(null)
288533,0,right,(null)
289700,0,away,(null)
305101,0,away,(null)
307299,0,right,(null)
308299,0,left,(null)
308933,0,away,(null)
312066,0,end,(null)
312100,0,right,(null)
31500,0,right,(null)
316000,0,left,(null)
316867,0,right,(null)
319000,0,left,(null)
320334,0,right,(null)
32034,833,outofframe,(null)
321166,0,left,(null)
326566,0,right,(null)
326734,0,left,(null)
327600,0,away,(null)
32900,0,away,(null)
331533,0,left,(null)
33266,1200,outofframe,(null)
334467,0,right,(null)
336100,0,end,(null)
336134,0,away,(null)
336299,0,left,(null)
336634,0,right,(null)
336867,0,left,(null)
337899,0,away,(null)
337967,900,outofframe,(null)
338899,0,away,(null)
339899,0,left,(null)
340299,0,right,(null)
342066,0,away,(null)
34500,0,away,(null)
