Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, end, peek, talk, point, fuss, instructions, preview, outofframe, over_shoulder, sitting_in_lap, sitting_alone, other_posture, no_posture
Time,Duration,TrackName,comment

0,0,right,(null)
100567,0,left,(null)
10267,0,left,(null)
104467,0,right,(null)
106199,0,left,(null)
110134,0,right,(null)
111533,0,left,(null)
114000,0,right,(null)
116433,0,left,(null)
1167,0,left,(null)
117866,0,right,(null)
118300,0,left,(null)
119033,0,right,(null)
120033,0,end,(null)
125099,0,left,(null)
12567,0,right,(null)
130033,0,right,(null)
13300,0,left,(null)
135000,0,left,(null)
13767,0,away,(null)
139600,0,right,(null)
142434,0,left,(null)
143867,0,right,(null)
144067,0,end,(null)
144833,0,left,(null)
146167,0,right,(null)
151500,0,left,(null)
152033,0,right,(null)
152800,0,left,(null)
156067,0,right,(null)
164800,0,left,(null)
167733,0,right,(null)
168067,0,end,(null)
168100,0,left,(null)
16867,0,right,(null)
174567,0,right,(null)
176399,0,left,(null)
180067,0,right,(null)
18100,0,left,(null)
183233,0,left,(null)
185100,0,right,(null)
189899,0,left,(null)
191134,0,right,(null)
192067,0,end,(null)
19267,0,right,(null)
194167,0,left,(null)
194567,0,right,(null)
198533,0,left,(null)
198966,0,right,(null)
200667,0,left,(null)
204067,0,right,(null)
20466,0,left,(null)
205333,0,away,(null)
206667,0,right,(null)
206934,0,away,(null)
20799,0,away,(null)
209067,0,right,(null)
210199,0,left,(null)
211899,0,right,(null)
213567,0,left,(null)
214134,0,right,(null)
216100,0,end,(null)
217667,0,left,(null)
218033,0,right,(null)
219899,0,left,(null)
221266,0,right,(null)
222766,0,left,(null)
223766,0,right,(null)
224134,0,left,(null)
225699,0,right,(null)
231333,0,left,(null)
232266,0,right,(null)
233233,0,left,(null)
235199,0,away,(null)
236100,0,right,(null)
236300,0,left,(null)
238300,0,right,(null)
23934,0,right,(null)
239567,0,away,(null)
23966,0,end,(null)
240067,0,end,(null)
240100,0,right,(null)
240500,0,left,(null)
242533,0,right,(null)
245367,0,away,(null)
247899,0,right,(null)
249000,0,left,(null)
2500,0,right,(null)
250966,0,right,(null)
251466,0,left,(null)
252934,0,right,(null)
25500,0,left,(null)
264033,0,end,(null)
264066,0,left,(null)
264799,0,right,(null)
265299,0,left,(null)
272334,0,right,(null)
273166,0,left,(null)
274634,0,right,(null)
277000,0,left,(null)
277399,0,away,(null)
281899,0,right,(null)
282299,0,away,(null)
282933,0,right,(null)
