Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,left,(null)
104500,0,away,(null)
105866,0,right,(null)
108333,0,left,(null)
111199,0,right,(null)
118900,0,left,(null)
119500,0,end,(null)
121067,0,away,(null)
129300,0,left,(null)
130167,0,away,(null)
13199,0,right,(null)
138899,0,left,(null)
143367,0,end,(null)
147233,0,right,(null)
151434,0,left,(null)
156766,0,right,(null)
161934,0,left,(null)
167233,0,end,(null)
169333,0,away,(null)
173367,0,right,(null)
17399,0,away,(null)
174167,0,left,
178000,0,away,(null)
179367,0,left,(null)
184966,0,right,(null)
188667,0,away,(null)
189800,0,right,(null)
190399,0,left,(null)
191033,0,right,(null)
191199,0,end,(null)
191233,0,left,(null)
198067,0,right,(null)
207434,0,left,(null)
210667,0,right,(null)
215033,0,left,(null)
215067,0,end,(null)
218266,0,away,(null)
224699,0,left,(null)
226500,0,away,(null)
238300,0,left,(null)
23833,0,end,(null)
23867,0,left,(null)
238934,0,end,(null)
249766,0,away,(null)
252033,0,left,(null)
262799,0,end,(null)
26367,0,right,(null)
266834,0,away,(null)
270834,0,left,(null)
276834,0,right,(null)
277467,0,left,(null)
278467,0,away,(null)
282967,0,left,(null)
286666,0,end,(null)
290533,0,right,(null)
29200,0,left,(null)
295100,0,left,(null)
310134,0,right,(null)
310533,0,end,(null)
310566,0,left,(null)
316367,0,right,(null)
318399,0,left,(null)
321367,0,away,(null)
32200,0,away,(null)
328299,0,left,(null)
330533,0,right,(null)
333399,0,left,(null)
334399,0,end,(null)
342200,0,right,(null)
346600,0,left,(null)
349299,0,right,(null)
357066,0,away,(null)
358299,0,end,(null)
358334,0,left,(null)
361266,0,right,(null)
364734,0,left,(null)
375533,0,right,(null)
378134,0,left,(null)
382166,0,end,(null)
384600,0,away,(null)
385834,0,left,(null)
387899,0,right,(null)
389200,0,away,(null)
401500,0,left,(null)
406134,0,end,(null)
40766,0,left,(null)
409266,0,away,(null)
415867,0,right,
416234,0,left,(null)
418033,0,away,(null)
4199,0,right,(null)
426266,0,left,(null)
427200,0,away,(null)
430100,0,end,(null)
430134,0,left,(null)
436600,0,right,(null)
441467,0,left,(null)
44200,0,right,(null)
453967,0,end,(null)
456700,0,away,(null)
458799,0,left,(null)
466899,0,away,(null)
467578,5889,fuss,Level 1
472899,0,left,(null)
475834,0,away,(null)
477867,0,end,(null)
47799,0,end,(null)
47833,0,left,(null)
478367,0,left,(null)
478967,0,away,(null)
48067,0,right,(null)
484899,0,right,(null)
491500,0,left,(null)
497933,0,away,(null)
501766,0,end,(null)
501799,0,left,(null)
50466,0,away,(null)
5199,0,left,(null)
525633,0,end,(null)
5400,0,away,(null)
549400,0,right,(null)
549599,0,end,(null)
549633,0,left,(null)
553367,0,right,(null)
554867,0,left,(null)
559833,0,away,(null)
563734,0,left,(null)
56833,0,left,
568767,0,right,(null)
57234,0,right,(null)
573533,0,end,(null)
61433,0,away,(null)
62833,0,left,(null)
65900,0,away,(null)
67433,0,right,(null)
71666,0,end,(null)
71699,0,left,(null)
75099,0,away,(null)
80500,0,left,(null)
8199,0,left,(null)
84099,0,away,(null)
92766,0,left,(null)
95533,0,end,(null)
99500,0,right,(null)
0,0,over_shoulder,(null)
