Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: right, left, away, outofframe, peek, talk, point, fuss, instructions, preview, end, coderComments, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,left,(null)
106967,0,left,(null)
107300,0,right,(null)
109666,0,left,(null)
110067,0,right,(null)
112166,0,left,(null)
112433,0,right,(null)
112800,0,left,(null)
113134,0,right,(null)
11767,0,left,(null)
119766,0,end,(null)
119800,0,left,(null)
12034,0,right,(null)
124234,0,right,(null)
128000,0,away,(null)
128266,0,right,(null)
129199,0,left,(null)
132399,0,right,(null)
132833,0,left,(null)
134367,0,right,(null)
139399,0,left,(null)
141199,0,right,(null)
141300,0,left,(null)
14300,0,left,(null)
143766,0,end,(null)
143800,0,right,(null)
14567,0,right,(null)
146000,0,left,(null)
146300,0,right,(null)
148533,0,left,(null)
148899,0,right,(null)
149500,0,away,(null)
150466,0,right,(null)
15199,0,left,(null)
152033,0,left,(null)
152266,0,right,(null)
154500,0,left,(null)
15500,0,right,(null)
155000,0,right,(null)
157100,0,left,(null)
157434,0,right,(null)
160100,0,left,(null)
160434,0,right,(null)
163333,0,left,(null)
163699,0,away,(null)
166533,0,right,(null)
166833,801,peek,(null)
167634,0,end,(null)
170233,0,left,(null)
171434,0,right,(null)
17200,0,left,(null)
172533,0,away,(null)
17399,0,right,(null)
175600,0,right,(null)
177833,0,left,(null)
179167,0,right,(null)
181600,0,left,(null)
182766,0,right,(null)
183067,0,left,(null)
185434,0,right,(null)
187800,0,left,(null)
189899,0,right,(null)
191333,0,left,(null)
191567,0,end,(null)
191600,0,right,(null)
194266,0,left,(null)
194766,0,right,(null)
196333,0,left,(null)
196867,0,right,(null)
199233,0,left,(null)
201067,0,right,(null)
202134,0,left,(null)
202766,0,right,(null)
203766,0,left,(null)
204966,0,right,(null)
205500,0,left,(null)
206266,0,away,(null)
207699,0,right,(null)
208600,0,away,(null)
209500,0,left,(null)
20966,0,away,(null)
209766,0,right,(null)
210567,0,left,(null)
211067,0,right,(null)
213699,0,left,(null)
214757,0,right,(null)
215500,0,end,(null)
21566,0,right,(null)
217567,0,left,(null)
220033,0,right,(null)
220934,0,left,(null)
222367,0,right,(null)
222600,0,left,(null)
224833,0,right,(null)
225033,0,left,(null)
226899,0,right,(null)
228533,0,left,(null)
229733,0,right,(null)
230067,0,left,(null)
232134,0,right,(null)
232500,0,left,(null)
233,0,right,(null)
233367,0,right,(null)
23434,0,left,(null)
234600,0,left,(null)
235000,0,right,(null)
23700,0,right,(null)
237000,0,left,(null)
237333,0,right,(null)
23934,0,end,(null)
239434,0,end,(null)
241766,0,left,(null)
242067,0,right,(null)
242833,0,away,(null)
2434,0,left,(null)
243466,0,right,(null)
245033,0,away,(null)
247233,0,right,(null)
248266,0,away,(null)
250833,0,left,(null)
251100,0,right,(null)
252699,0,away,(null)
254699,0,right,(null)
257299,0,away,(null)
260700,0,right,(null)
261899,0,away,(null)
263367,0,end,(null)
263399,0,right,(null)
264100,0,left,(null)
264634,0,right,(null)
266100,0,away,(null)
268000,0,left,(null)
268367,0,right,(null)
268799,0,left,(null)
269100,0,right,(null)
2700,0,right,(null)
270166,0,away,(null)
272834,0,right,(null)
274433,0,away,(null)
280766,0,right,(null)
281700,0,away,(null)
283000,0,right,(null)
283700,0,away,(null)
284899,0,right,(null)
286234,0,away,(null)
287299,0,end,(null)
28733,0,left,(null)
287334,0,left,(null)
287399,0,right,(null)
29966,0,right,(null)
300100,0,away,(null)
