Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,away,(null)
101366,0,left,(null)
101933,0,away,(null)
103033,0,left,(null)
103500,0,away,(null)
104500,0,right,(null)
105229,0,away,(null)
106333,0,right,(null)
106634,0,away,(null)
108866,0,left,(null)
109400,0,away,(null)
109967,0,right,(null)
11000,0,left,(null)
111766,0,left,(null)
115467,0,away,(null)
11600,0,away,(null)
116366,0,right,(null)
116699,0,left,(null)
119599,0,end,(null)
119634,0,left,(null)
122567,0,away,(null)
125500,0,right,(null)
1266,533,peek,(null)
127467,0,away,(null)
129833,0,left,(null)
130033,0,right,(null)
130634,0,away,(null)
132667,0,right,(null)
133833,0,left,(null)
133934,399,peek,(null)
137867,0,away,(null)
138533,0,right,(null)
139100,0,left,(null)
139511,0,away,(null)
142000,0,right,(null)
142800,0,left,(null)
143434,0,end,(null)
143466,0,left,(null)
145500,0,left,(null)
146966,0,away,(null)
148466,0,right,(null)
150067,0,away,(null)
150800,0,right,(null)
151167,0,left,(null)
154333,0,away,(null)
159500,0,right,(null)
160466,0,away,(null)
160899,0,right,(null)
163333,0,away,(null)
163800,0,right,(null)
164733,0,left,(null)
165134,0,right,(null)
166367,0,away,(null)
167300,0,end,(null)
167333,0,right,(null)
168300,0,left,(null)
172533,0,right,(null)
172863,0,away,(null)
17399,0,right,(null)
174000,0,right,(null)
17634,0,away,(null)
177067,0,left,(null)
182800,0,right,(null)
183167,0,away,(null)
183634,0,right,(null)
183699,0,left,(null)
184899,0,away,(null)
185134,0,left,(null)
186766,0,away,(null)
187733,0,right,(null)
188567,0,left,(null)
189067,0,away,(null)
191167,0,end,(null)
191199,0,left,(null)
194012,0,away,(null)
195667,0,left,(null)
19799,0,left,(null)
207833,0,away,(null)
208833,0,left,(null)
209434,0,right,(null)
209800,0,left,(null)
210033,0,away,(null)
211634,0,right,(null)
213233,0,away,(null)
214500,0,left,(null)
215033,0,end,(null)
215067,0,right,(null)
225367,0,away,(null)
226067,0,left,(null)
226399,0,away,(null)
229500,0,right,(null)
230500,0,left,(null)
232533,0,right,(null)
237667,0,away,(null)
237800,0,left,(null)
238533,0,away,(null)
238766,0,end,(null)
238800,0,right,(null)
23899,0,end,(null)
23934,0,right,(null)
23934,1000,peek,(null)
241300,0,left,(null)
243399,0,right,(null)
24600,0,left,(null)
24634,0,away,(null)
246533,0,left,(null)
249600,0,right,(null)
25767,0,left,(null)
25799,0,right,(null)
259399,0,left,(null)
261867,0,right,(null)
262600,0,end,(null)
262634,0,left,(null)
263500,0,right,(null)
26700,0,away,(null)
268000,0,left,(null)
268334,0,right,(null)
268533,0,left,(null)
270334,0,right,(null)
278967,0,left,(null)
281500,0,right,(null)
282666,0,away,(null)
283766,0,right,(null)
286566,0,end,(null)
286600,0,left,(null)
286899,0,right,(null)
29066,0,right,(null)
29134,0,away,(null)
294334,0,left,(null)
296100,0,right,(null)
302066,0,left,(null)
302666,0,away,(null)
302799,0,right,(null)
30434,0,right,(null)
310399,0,end,(null)
310433,0,right,(null)
310899,0,left,(null)
314634,0,right,(null)
31966,0,left,(null)
32433,0,right,(null)
32766,0,away,(null)
334234,0,end,(null)
334266,0,left,(null)
337234,0,right,(null)
349234,0,left,(null)
354166,0,right,(null)
358066,0,end,(null)
358100,0,left,(null)
362266,0,right,(null)
365399,0,left,(null)
366200,0,right,(null)
367166,0,left,(null)
367600,0,right,(null)
370834,0,left,(null)
373500,0,right,(null)
378766,0,left,(null)
381899,0,end,(null)
381933,0,right,(null)
385766,0,away,(null)
386967,0,right,(null)
388566,0,left,(null)
391670,0,right,(null)
400591,0,away,(null)
40133,0,right,(null)
402566,0,left,(null)
404367,0,away,(null)
405766,0,end,(null)
405799,0,left,(null)
411734,0,right,(null)
415700,0,left,(null)
416933,0,right,(null)
42966,0,left,(null)
429665,0,end,(null)
44034,0,right,(null)
44433,0,away,(null)
46833,0,right,(null)
47799,0,end,(null)
47833,0,away,(null)
48867,4700,peek,(null)
50099,0,right,(null)
50860,0,away,(null)
52534,0,right,(null)
58734,0,away,(null)
65166,0,right,(null)
66866,0,left,(null)
71734,0,end,(null)
71766,0,right,(null)
71766,20267,peek,(null)
81533,0,left,(null)
83333,2046,talk,"It works a bit better with sound&#44; huh"
89033,0,right,(null)
92500,0,away,(null)
93234,0,left,(null)
93833,0,right,(null)
95300,434,peek,(null)
95734,0,end,(null)
95766,0,right,(null)
99300,0,away,(null)
0,0,over_shoulder,(null)
71766,0,other_posture,parent turned to the camera&#44; still over shoulder but baby's posture changed
92901,0,other_posture,being held in 2 hands
94301,0,over_shoulder,(null)
