Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture, no_posture
Time,Duration,TrackName,comment

0,0,right,(null)
102766,0,left,(null)
103833,0,right,(null)
104634,0,away,(null)
105866,0,right,(null)
107266,0,left,(null)
110333,0,away,(null)
110866,0,right,(null)
111134,0,left,(null)
112833,0,right,(null)
114294,0,left,(null)
118500,0,right,(null)
119933,0,end,(null)
120199,0,left,(null)
124599,0,right,(null)
130266,0,left,(null)
131899,0,right,(null)
132333,0,left,(null)
134634,0,right,(null)
13500,0,left,(null)
136333,0,away,(null)
137466,0,right,(null)
141233,0,left,(null)
143934,0,end,(null)
143966,0,right,(null)
144134,0,left,(null)
14699,0,right,(null)
150367,0,right,(null)
152567,0,left,(null)
153733,0,right,(null)
154167,0,left,(null)
155067,0,away,(null)
156167,14700,outofframe,(null)
16299,0,left,(null)
167899,0,end,(null)
170934,0,right,(null)
172134,0,left,(null)
175367,0,right,(null)
176833,0,left,(null)
17833,0,right,(null)
179800,0,right,(null)
182333,0,left,(null)
183733,0,right,(null)
191899,0,end,(null)
196067,0,left,(null)
198800,0,right,(null)
202634,0,left,(null)
205266,0,away,(null)
208434,0,right,(null)
211966,3911,outofframe,(null)
21299,0,left,(null)
215867,0,end,(null)
215899,0,right,(null)
21600,0,away,(null)
220000,0,left,(null)
223367,0,away,(null)
224733,0,right,(null)
22934,0,right,(null)
229367,0,left,(null)
233134,0,right,(null)
236867,0,left,(null)
239000,0,right,(null)
23934,0,end,(null)
23966,0,left,(null)
239833,0,end,(null)
239867,0,left,(null)
243466,0,right,(null)
244500,0,left,(null)
249134,0,away,yawning
2500,0,right,(null)
250333,0,left,(null)
251567,0,away,(null)
252634,0,right,(null)
253233,0,left,(null)
254399,0,right,(null)
256101,7698,outofframe,(null)
263799,0,end,(null)
263834,0,left,(null)
265367,0,right,(null)
266234,0,left,(null)
267800,0,right,(null)
268066,0,away,rubbing his eyes
269566,0,right,(null)
270200,0,left,(null)
271200,0,right,(null)
272200,0,left,(null)
273933,0,right,(null)
275200,0,left,(null)
276367,0,away,(null)
277933,0,left,(null)
278299,0,right,(null)
278967,0,away,(null)
279967,0,right,(null)
280634,0,left,(null)
282467,0,right,(null)
287799,0,end,(null)
29299,0,right,(null)
30034,0,left,(null)
33333,0,away,(null)
34734,0,left,(null)
38400,0,left,(null)
39333,0,right,(null)
39567,0,left,(null)
41567,0,away,(null)
4767,0,left,(null)
47933,0,end,(null)
47966,0,right,(null)
53034,0,left,(null)
5467,0,right,(null)
57534,0,right,(null)
61133,0,away,(null)
61833,0,right,(null)
62666,0,left,(null)
6500,0,away,(null)
67467,0,right,(null)
71933,0,end,(null)
7334,0,right,(null)
734,0,left,(null)
74266,0,left,(null)
76734,0,right,(null)
78333,0,left,(null)
85967,0,away,(null)
88067,0,left,(null)
94333,0,right,(null)
95933,0,end,(null)
96433,0,left,(null)
98734,0,right,(null)
0,0,sitting_alone,(null)
11,0,other_posture,standing alone
157067,0,no_posture,there is no baby
170600,0,other_posture,being held in 2 hands
172001,0,other_posture,standing by themselves
213134,0,no_posture,there is no baby
215899,0,other_posture,standing by themselves
