Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,left,(null)
104599,0,away,(null)
107234,0,left,(null)
108067,0,away,(null)
110599,0,right,(null)
111266,3762,fuss,1
111300,0,away,(null)
11800,0,left,(null)
118766,453,fuss,1
118833,0,left,(null)
119400,0,end,(null)
119433,0,right,(null)
122511,1969,fuss,1
123666,0,left,(null)
126634,0,away,(null)
127455,8360,fuss,1
128605,0,left,(null)
129033,0,right,(null)
130000,0,away,(null)
131533,0,right,(null)
132000,0,away,(null)
133800,0,left,(null)
13399,0,away,(null)
135800,0,away,(null)
138067,0,left,(null)
138399,0,away,(null)
139199,0,right,(null)
141134,0,away,(null)
142399,0,right,(null)
143266,0,end,(null)
143300,0,left,(null)
144766,0,away,(null)
145533,20978,fuss,1
146067,0,left,(null)
146766,0,away,(null)
147966,0,left,(null)
148341,0,right,(null)
148766,0,away,(null)
155333,0,right,(null)
157867,0,away,(null)
16100,0,left,(null)
165833,0,right,(null)
167067,0,end,(null)
167100,0,right,(null)
167167,0,away,(null)
167966,0,right,(null)
169766,0,left,(null)
172100,0,away,(null)
174466,0,right,(null)
175067,0,left,(null)
176134,0,away,(null)
177998,1503,fuss,1
184000,0,left,(null)
18634,0,right,(null)
186533,0,right,(null)
186800,0,left,(null)
189733,0,right,(null)
190466,0,left,(null)
190934,0,end,(null)
190966,0,away,(null)
19367,0,away,(null)
193929,1962,fuss,1
194600,0,left,(null)
195466,0,away,(null)
200699,0,left,(null)
200833,1000,fuss,1
200966,0,away,(null)
201699,0,right,(null)
202500,0,away,(null)
205634,0,left,(null)
208667,0,right,(null)
208800,0,away,(null)
211667,0,right,(null)
212333,0,away,(null)
213266,0,right,(null)
213833,0,away,(null)
214634,0,end,(null)
214667,0,right,(null)
215766,0,away,(null)
219833,0,right,(null)
220500,0,away,(null)
221966,0,right,(null)
222367,0,away,(null)
223963,12806,fuss,1
225699,0,left,(null)
226100,0,right,(null)
227233,0,away,(null)
22833,0,left,(null)
232167,0,right,(null)
232766,0,away,(null)
233899,0,right,(null)
234500,0,away,(null)
235300,0,left,(null)
236699,0,away,(null)
23799,0,end,(null)
23833,0,left,(null)
238533,0,end,(null)
238567,0,right,(null)
238766,0,away,(null)
239500,0,right,(null)
239901,20954,fuss,1
241466,0,away,(null)
242134,0,left,(null)
243399,0,right,(null)
244733,0,left,(null)
245533,0,away,(null)
250966,0,left,(null)
251833,0,away,(null)
256166,0,left,(null)
256600,0,right,(null)
257666,0,away,(null)
260066,0,left,(null)
260399,0,right,(null)
260533,0,away,(null)
262467,0,end,(null)
262500,0,away,(null)
263433,0,right,(null)
264514,15864,fuss,1
264799,0,away,(null)
267200,0,right,(null)
267634,0,away,(null)
272600,0,left,(null)
273467,0,away,(null)
284000,0,left,(null)
28500,0,away,(null)
285066,0,away,(null)
285867,0,right,(null)
286367,0,end,(null)
286399,0,left,(null)
287967,0,away,(null)
29066,0,right,(null)
293399,0,left,(null)
296299,0,away,(null)
29634,0,left,(null)
297967,0,right,(null)
301867,0,away,(null)
30200,0,away,(null)
30215,11563,fuss,1
310266,0,end,(null)
310299,0,right,(null)
310947,5673,fuss,1
311533,0,left,(null)
313867,0,right,(null)
314533,0,away,(null)
316467,0,right,(null)
3167,0,right,(null)
318066,0,away,(null)
318734,0,left,(null)
318799,0,away,(null)
31899,0,left,(null)
32266,0,away,(null)
