Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,right,(null)
100967,0,left,(null)
103634,0,right,(null)
104734,0,left,(null)
107134,0,right,(null)
108382,0,left,(null)
109634,0,right,(null)
110333,0,left,(null)
11833,0,right,(null)
119800,0,end,(null)
12467,0,left,(null)
124734,0,right,(null)
129934,0,left,(null)
130667,0,right,(null)
131199,0,left,(null)
134466,0,right,(null)
139867,0,left,(null)
142644,0,right,(null)
142934,0,left,(null)
143766,0,end,(null)
143800,0,right,(null)
146333,0,left,(null)
15000,0,right,(null)
153167,0,right,(null)
154167,0,left,(null)
158067,0,right,(null)
158699,0,away,(null)
159899,0,right,(null)
160800,0,left,(null)
162899,0,right,(null)
166000,0,left,(null)
167733,0,end,(null)
167766,0,right,(null)
168233,0,left,(null)
170434,0,right,(null)
172766,0,away,(null)
173766,0,left,(null)
173934,0,right,(null)
177800,2367,outofframe,(null)
180266,0,right,(null)
181600,0,away,looking down
183033,0,right,(null)
190266,0,away,(null)
191733,0,end,(null)
191766,0,right,(null)
196033,0,left,(null)
201266,0,right,(null)
202233,0,left,(null)
203399,0,right,(null)
20466,0,left,(null)
206800,0,left,(null)
209667,0,right,(null)
21200,0,right,(null)
215667,0,end,(null)
216434,0,left,(null)
220466,0,right,(null)
224333,0,left,(null)
228699,0,away,bangs toy on couch
229466,0,left,(null)
232699,0,away,(null)
233300,0,right,(null)
233600,0,left,(null)
236100,0,right,(null)
236434,0,left,(null)
23697,0,left,(null)
23934,0,end,(null)
239634,0,end,(null)
23966,0,right,(null)
25367,0,left,(null)
254067,0,right,(null)
258033,0,left,(null)
260666,0,right,(null)
261433,0,left,(null)
261867,0,right,(null)
262899,0,left,(null)
263566,0,end,(null)
263600,0,right,(null)
266,0,left,(null)
26733,0,right,(null)
269967,0,left,(null)
272367,0,away,(null)
275566,0,right,(null)
277566,0,left,(null)
279766,0,right,(null)
280967,0,away,(null)
286634,765,outofframe,(null)
287433,0,right,(null)
290433,0,left,(null)
293033,0,right,(null)
294334,0,left,(null)
29466,0,left,(null)
303766,0,away,(null)
311100,199,peek,(null)
311299,0,end,(null)
311334,0,right,(null)
321334,0,left,(null)
324066,0,right,(null)
32599,0,right,(null)
327433,0,left,(null)
331234,0,away,(null)
335299,0,end,(null)
33734,0,left,(null)
36000,0,right,(null)
36333,0,left,(null)
39933,0,right,(null)
40200,0,away,(null)
41466,0,right,(null)
43133,0,away,(null)
44333,0,right,(null)
44833,0,left,(null)
47099,0,away,(null)
47900,0,end,(null)
47933,0,right,(null)
52567,0,left,(null)
5699,0,right,(null)
57799,0,right,(null)
62700,0,left,(null)
6334,0,left,(null)
67732,0,right,(null)
71866,0,end,(null)
71900,0,right,(null)
74866,0,left,(null)
84634,0,right,(null)
85833,0,left,(null)
87000,0,right,(null)
88134,0,left,(null)
89866,0,right,(null)
90000,0,away,(null)
95199,0,right,(null)
95833,0,end,(null)
0,0,other_posture,standing alone
