Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, over_shoulder, sitting_in_lap, sitting_alone, other_posture, no_posture
Time,Duration,TrackName,comment

0,0,left,(null)
100333,0,right,(null)
10133,0,right,(null)
101967,0,away,(null)
103467,0,right,(null)
103699,0,left,(null)
105000,0,away,(null)
110366,0,left,(null)
111567,0,away,(null)
113500,0,right,(null)
116099,0,left,(null)
116734,0,away,(null)
11866,0,away,(null)
119266,0,end,(null)
119300,0,right,(null)
123866,0,left,(null)
12600,0,right,(null)
129033,0,right,(null)
1333,0,right,(null)
133800,0,left,(null)
138934,0,right,(null)
143199,0,end,(null)
143233,0,left,(null)
143567,0,away,(null)
147934,0,right,(null)
149667,0,left,(null)
150500,0,away,(null)
15300,0,left,(null)
153600,1290,peek,(null)
153947,353,talk,(null)
154134,0,right,(null)
155833,0,left,(null)
156567,0,away,(null)
162116,0,right,(null)
162934,0,away,(null)
166966,0,right,(null)
167134,0,end,(null)
167167,0,left,(null)
167434,0,right,(null)
167867,0,left,(null)
168333,0,right,(null)
17000,0,distract,(null)
171567,0,left,(null)
172567,0,right,(null)
173867,0,away,(null)
18066,0,right,(null)
182399,0,right,(null)
183399,0,away,(null)
186134,0,right,(null)
186533,0,away,(null)
191134,0,end,(null)
191167,0,right,(null)
198533,0,away,(null)
200266,0,right,(null)
200800,0,away,(null)
206266,0,left,(null)
206600,0,right,(null)
210434,0,away,(null)
212067,0,right,(null)
212600,0,away,(null)
215167,23900,outofframe,(null)
23233,0,away,(null)
23534,0,end,(null)
23634,0,right,(null)
239067,0,end,(null)
239100,0,right,(null)
239134,0,left,(null)
239733,0,right,(null)
241233,0,left,(null)
24134,0,left,(null)
242533,0,right,(null)
246800,0,away,(null)
247333,0,left,(null)
247800,0,right,(null)
248533,0,left,(null)
249199,0,away,(null)
250100,0,right,(null)
255634,0,away,(null)
25600,0,right,(null)
256134,0,left,(null)
256766,0,away,(null)
259000,0,right,(null)
261766,0,left,(null)
263066,0,end,(null)
263100,0,right,(null)
263399,0,left,(null)
267533,0,right,(null)
268399,0,away,(null)
271533,0,right,(null)
271834,0,away,(null)
276700,0,right,(null)
27767,0,left,(null)
285194,0,left,(null)
285899,0,away,(null)
287033,0,end,(null)
287066,0,right,(null)
287305,0,left,(null)
28899,0,away,(null)
291566,0,right,(null)
292334,0,left,(null)
29867,0,right,(null)
305666,0,away,(null)
306467,0,left,(null)
308000,0,right,(null)
309834,0,away,(null)
31034,0,away,(null)
310933,0,end,(null)
310967,0,left,(null)
311834,0,right,(null)
312766,0,left,(null)
314734,0,right,(null)
315967,0,left,(null)
316734,0,right,(null)
317299,0,away,(null)
31867,0,right,(null)
320666,0,right,(null)
321399,0,left,(null)
321899,0,away,(null)
323734,0,left,(null)
324634,0,right,(null)
324967,0,left,(null)
325433,0,away,(null)
32599,0,away,(null)
326533,0,right,(null)
329734,0,left,(null)
33166,0,right,(null)
334867,0,end,(null)
334899,0,right,(null)
335066,0,left,(null)
335734,0,right,(null)
336066,0,left,(null)
34067,0,away,(null)
341700,0,distract,(null)
342467,0,right,(null)
342933,0,left,(null)
345566,0,right,(null)
34799,0,right,(null)
348234,0,left,(null)
35333,0,away,(null)
354234,0,away,(null)
355066,0,left,(null)
358166,0,away,(null)
358834,0,end,(null)
358867,0,left,(null)
359933,0,right,(null)
361433,0,left,(null)
368867,0,right,(null)
370200,0,left,(null)
382799,0,end,(null)
384367,0,away,(null)
388367,0,right,(null)
