Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: left, right, away, peek, fuss, talk, distract, end, outofframe, point, preview, over_shoulder, sitting_in_lap, sitting_alone, other_posture
Time,Duration,TrackName,comment

0,0,right,(null)
111345,0,right,(null)
113616,0,left,(null)
11467,0,away,(null)
117105,0,right,(null)
118668,0,left,(null)
119734,0,end,(null)
119766,0,right,(null)
124317,0,left,(null)
126528,0,away,(null)
127056,0,left,(null)
129229,0,right,(null)
13172,0,right,(null)
133617,0,away,(null)
134910,0,left,(null)
136909,0,away,(null)
137649,0,left,(null)
139058,0,right,(null)
14082,0,away,(null)
143733,0,end,(null)
143766,0,right,(null)
147198,0,left,(null)
147891,0,right,(null)
148567,0,left,(null)
148784,0,away,(null)
149422,0,right,(null)
150167,0,away,(null)
150430,1683,outofframe,(null)
152577,0,right,(null)
153348,1937,outofframe,(null)
153563,0,away,(null)
155691,0,right,(null)
159081,0,left,(null)
159684,0,right,(null)
160179,0,left,(null)
162982,0,away,(null)
163621,0,right,(null)
165669,0,away,(null)
167634,0,end,(null)
167667,0,right,(null)
17095,0,left,(null)
171916,0,left,(null)
174097,0,right,(null)
174296,0,left,(null)
178816,0,away,(null)
182793,0,right,(null)
185059,0,left,(null)
191533,0,end,(null)
191567,0,right,(null)
199070,0,left,(null)
205504,0,right,(null)
211067,0,left,(null)
211333,0,right,(null)
213562,0,left,(null)
215533,0,end,(null)
215567,0,right,(null)
219576,0,left,(null)
223545,0,right,(null)
227748,0,left,(null)
22833,0,away,(null)
231560,0,right,(null)
234077,0,left,(null)
235491,0,right,(null)
238833,0,away,(null)
23899,0,end,(null)
239255,0,left,(null)
23934,0,right,(null)
239500,0,end,(null)
239533,0,right,(null)
241642,0,left,(null)
249872,0,right,(null)
254145,0,left,(null)
263500,0,end,(null)
263533,0,right,(null)
274101,0,left,(null)
276490,0,right,(null)
282801,0,left,(null)
284536,0,right,(null)
286715,0,left,(null)
287467,0,end,(null)
287500,0,right,(null)
293043,0,left,(null)
293474,0,away,(null)
293938,1381,outofframe,(null)
296252,0,right,(null)
296707,0,away,(null)
300640,0,right,(null)
301393,0,away,(null)
301920,0,right,(null)
302313,0,away,(null)
304666,0,right,(null)
306795,0,away,(null)
308998,0,right,(null)
310541,0,left,(null)
311467,0,end,(null)
311500,0,right,(null)
315336,0,left,(null)
318533,0,right,(null)
323084,0,left,(null)
32568,0,left,(null)
327180,0,right,(null)
328697,0,left,(null)
329254,0,away,(null)
331100,0,left,(null)
333410,0,right,(null)
335433,0,end,(null)
335467,0,right,(null)
338248,0,left,(null)
339821,0,right,(null)
343537,0,left,(null)
344619,0,right,(null)
347031,0,left,(null)
348231,0,right,(null)
349260,0,left,(null)
351759,0,right,(null)
35581,0,right,(null)
359367,0,end,(null)
359399,0,right,(null)
366301,0,left,(null)
373385,0,right,(null)
374299,0,left,(null)
376166,0,right,(null)
379289,0,left,(null)
382782,0,right,(null)
383399,0,end,(null)
383433,0,right,(null)
38827,0,left,(null)
389093,0,away,(null)
390209,0,right,(null)
392249,0,away,(null)
393533,13787,fuss,baby is trying to get out of mom's arms
40133,0,right,(null)
407334,0,end,(null)
407367,0,right,(null)
413299,0,left,(null)
416899,0,right,(null)
419272,0,away,(null)
431266,0,end,(null)
431299,0,right,(null)
43606,0,left,(null)
440743,0,left,(null)
446528,0,right,(null)
455134,0,end,(null)
455166,0,right,(null)
457396,0,left,(null)
462518,0,away,(null)
469859,0,distract,distracted by mother's phone
47867,0,end,(null)
47900,0,left,(null)
479100,0,end,(null)
479134,0,right,(null)
479334,0,left,(null)
479634,0,right,(null)
482863,0,left,(null)
491091,0,right,(null)
494835,0,left,(null)
503200,0,end,(null)
503234,0,right,(null)
508778,0,left,(null)
510958,0,right,(null)
516408,0,left,(null)
52437,0,right,(null)
525348,0,right,(null)
527166,0,end,(null)
527200,0,right,(null)
535236,0,left,(null)
536599,0,right,(null)
539067,0,left,(null)
539999,0,right,(null)
543051,0,left,(null)
546341,0,right,(null)
551133,0,end,(null)
551166,0,right,(null)
57450,0,left,(null)
575114,0,end,(null)
63234,0,right,(null)
64450,0,away,(null)
66812,0,right,(null)
67518,0,away,(null)
69116,0,left,(null)
70065,0,away,(null)
71833,0,end,(null)
71866,0,right,(null)
80498,0,left,(null)
84095,0,right,(null)
87571,0,left,(null)
8870,0,left,(null)
95766,0,end,(null)
95800,0,right,(null)
98202,0,left,(null)
0,0,over_shoulder,(null)
